id,parent_id,create_uid,write_uid,name,complete_name,parent_path,product_properties_definition,create_date,write_date,property_account_income_categ_id,property_account_expense_categ_id,removal_strategy_id,packaging_reserve_method,property_valuation,property_cost_method,property_stock_journal,property_stock_account_input_categ_id,property_stock_account_output_categ_id,property_stock_valuation_account_id,property_account_creditor_price_difference_categ,property_account_downpayment_categ_id,property_stock_account_production_cost_id,usage_type,active,show_on_product,scgl_allow_sale,scgl_allow_purchase,scgl_allow_expense
96,71,2,2,2200-02 Purchased / Trading Finished Goods,ทั้งหมด / รายได้ / 2200 - ท่อและคอนกรีตสำเร็จรูป / 2200-02 Purchased / Trading Finished Goods,1/2/71/96/,\N,2026-08-24 08:38:52.785012,2026-08-25 03:45:46.900867,"{""1"": 271, ""2"": 402}","{""1"": 295, ""2"": 426}",\N,partial,\N,\N,\N,"{""1"": 176, ""2"": 62, ""3"": 100, ""4"": 138}","{""1"": 701, ""2"": 702, ""3"": 703, ""4"": 704}","{""1"": 169, ""2"": 55, ""3"": 93, ""4"": 131}",\N,\N,\N,saleable,t,t,t,t,t
110,78,2,2,4200-02 Project Logistics,ทั้งหมด / คชจ. / 4200 - ค่าขนส่งและโลจิสติกส์ / 4200-02 Project Logistics,1/3/78/110/,\N,2026-08-24 08:38:57.297152,2026-08-25 03:52:25.704769,\N,"{""3"": 538, ""4"": 655}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
1,\N,1,2,ทั้งหมด,ทั้งหมด,1/,\N,2026-08-18 06:09:33.341157,2026-08-25 03:46:06.254766,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,t,t,t,t,t
22,3,1,2,น้ำมัน - โรงงาน,ทั้งหมด / คชจ. / น้ำมัน - โรงงาน,1/3/22/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
23,3,1,2,สินค้าสำเร็จรูป (ซื้อมา-ขายไป),ทั้งหมด / คชจ. / สินค้าสำเร็จรูป (ซื้อมา-ขายไป),1/3/23/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
42,3,1,2,06 - อื่นๆ,ทั้งหมด / คชจ. / 06 - อื่นๆ,1/3/42/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
11,2,1,2,04 - งานบริการ,ทั้งหมด / รายได้ / 04 - งานบริการ,1/2/11/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,"{""1"": ""average""}",\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
108,77,2,2,4100-01 Equipment Rental,ทั้งหมด / คชจ. / 4100 - ค่าเช่าเครื่องจักรและยานพาหนะ / 4100-01 Equipment Rental,1/3/77/108/,\N,2026-08-24 08:38:56.871698,2026-08-25 12:35:46.913371,"{""1"": 270, ""2"": 401, ""3"": 527, ""4"": 644}","{""1"": 188, ""2"": 74, ""3"": 535, ""4"": 652}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
16,11,1,2,045 งานรับเหมาก่อสร้าง,ทั้งหมด / รายได้ / 04 - งานบริการ / 045 งานรับเหมาก่อสร้าง,1/2/11/16/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,"{""1"": ""average""}",\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
50,42,1,2,068 - วัสดุอุปกรณ์โรงงาน,ทั้งหมด / คชจ. / 06 - อื่นๆ / 068 - วัสดุอุปกรณ์โรงงาน,1/3/42/50/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
2,1,1,2,รายได้,ทั้งหมด / รายได้,1/2/,\N,2026-08-18 06:09:33.341157,2026-08-25 03:53:21.6168,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,saleable,t,t,t,t,t
12,11,1,2,044 - ค่าขนส่ง,ทั้งหมด / รายได้ / 04 - งานบริการ / 044 - ค่าขนส่ง,1/2/11/12/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
13,11,1,2,041 - บริการเสริม,ทั้งหมด / รายได้ / 04 - งานบริการ / 041 - บริการเสริม,1/2/11/13/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
14,11,1,2,042 - บริการให้เช่า,ทั้งหมด / รายได้ / 04 - งานบริการ / 042 - บริการให้เช่า,1/2/11/14/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
17,2,1,2,05 - อื่น ๆ (SPC)(กพ.),ทั้งหมด / รายได้ / 05 - อื่น ๆ (SPC)(กพ.),1/2/17/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
18,17,1,2,055 - สินค้าสำเร็จรูป (จากการผลิต),ทั้งหมด / รายได้ / 05 - อื่น ๆ (SPC)(กพ.) / 055 - สินค้าสำเร็จรูป (จากการผลิต),1/2/17/18/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
20,17,1,2,056 - วัสดุสิ้นเปลืองโรงงาน,ทั้งหมด / รายได้ / 05 - อื่น ๆ (SPC)(กพ.) / 056 - วัสดุสิ้นเปลืองโรงงาน,1/2/17/20/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
6,5,1,2,010 - คอนกรีตผสมเสร็จ(กพ.),ทั้งหมด / รายได้ / 01 - ผลิตภัณฑ์หลัก / 010 - คอนกรีตผสมเสร็จ(กพ.),1/2/5/6/,\N,2026-08-18 06:13:42.38203,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
66,\N,2,2,Others,Others,66/,\N,2026-08-18 09:29:22.032391,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
67,1,1,2,Deliveries,ทั้งหมด / Deliveries,1/67/,\N,2026-08-19 04:25:10.367875,2026-08-24 08:57:36.11656,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
55,3,1,2,07 - รับเหมา,ทั้งหมด / คชจ. / 07 - รับเหมา,1/3/55/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
52,42,1,2,070 - จ้างขนส่ง-ค่าบริการเพื่อการผลิต,ทั้งหมด / คชจ. / 06 - อื่นๆ / 070 - จ้างขนส่ง-ค่าบริการเพื่อการผลิต,1/3/42/52/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
56,55,1,2,071 - Construction Services (งานจ้างบริการ),ทั้งหมด / คชจ. / 07 - รับเหมา / 071 - Construction Services (งานจ้างบริการ),1/3/55/56/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
57,55,1,2,074 - Project Expenses (ค่าใช้จ่ายโครงการ),ทั้งหมด / คชจ. / 07 - รับเหมา / 074 - Project Expenses (ค่าใช้จ่ายโครงการ),1/3/55/57/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
58,55,1,2,073 - Project Labor (ค่าแรงโครงการ),ทั้งหมด / คชจ. / 07 - รับเหมา / 073 - Project Labor (ค่าแรงโครงการ),1/3/55/58/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
59,55,1,2,072 - Subcontractors (ผู้รับเหมาช่วง),ทั้งหมด / คชจ. / 07 - รับเหมา / 072 - Subcontractors (ผู้รับเหมาช่วง),1/3/55/59/,\N,2026-08-18 06:13:42.38203,2026-08-24 09:26:46.346621,\N,\N,\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,all,f,t,t,t,t
116,82,2,2,4600-01 Office & Administration,ทั้งหมด / คชจ. / 4600 - ค่าใช้จ่ายสำนักงานและบริหาร / 4600-01 Office & Administration,1/3/82/116/,\N,2026-08-24 08:38:58.708514,2026-08-25 03:52:48.436365,\N,"{""1"": 189, ""2"": 75, ""3"": 113, ""4"": 151}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
88,69,2,2,2000-02 Construction Material - Direct Project,ทั้งหมด / คชจ. / 2000 - วัสดุก่อสร้าง / 2000-02 Construction Material - Direct Project,1/3/69/88/,\N,2026-08-24 08:38:50.748138,2026-08-25 03:46:29.692133,"{""1"": 272, ""2"": 403}","{""1"": 295, ""2"": 426, ""3"": 532, ""4"": 649}",\N,partial,\N,\N,\N,\N,\N,\N,\N,\N,\N,expense,t,t,t,t,t
