id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date,is_studio_configuration
535,15,533,1,1,533/535/,\N,\N,"{""en_US"": ""Planning"", ""th_TH"": ""การวางแผน""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
541,135,535,1,1,533/535/541/,\N,"ir.actions.server,313","{""en_US"": ""Procurement: run scheduler"", ""th_TH"": ""การจัดซื้อ: เรียกใช้ตัวกำหนดตารางเวลา""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
550,2,536,1,1,533/536/550/,\N,"ir.actions.act_window,938","{""en_US"": ""Product Variants"", ""th_TH"": ""ตัวแปรสินค้า""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
536,20,533,1,1,533/536/,\N,\N,"{""en_US"": ""Products"", ""th_TH"": ""สินค้า""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
549,1,536,1,1,533/536/549/,\N,"ir.actions.act_window,937","{""en_US"": ""Products"", ""th_TH"": ""สินค้า""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
537,25,533,1,1,533/537/,\N,\N,"{""en_US"": ""Reporting"", ""th_TH"": ""การรายงาน""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
540,25,534,1,1,533/534/540/,\N,"ir.actions.act_window,348","{""en_US"": ""Scrap"", ""th_TH"": ""เศษสินค้า""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
553,0,538,1,1,533/538/553/,\N,"ir.actions.act_window,943","{""en_US"": ""Settings"", ""th_TH"": ""การตั้งค่า""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
552,20,534,1,1,533/534/552/,\N,"ir.actions.act_window,942","{""en_US"": ""Unbuild Orders"", ""th_TH"": ""คำสั่งรื้อ""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
542,90,538,1,1,533/538/542/,\N,"ir.actions.act_window,915","{""en_US"": ""Work Centers"", ""th_TH"": ""ศูนย์งาน""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
547,10,537,1,1,533/537/547/,\N,"ir.actions.act_window,914","{""en_US"": ""Work Orders"", ""th_TH"": ""คำสั่งงาน""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
546,10,534,1,1,533/534/546/,\N,"ir.actions.act_window,905","{""en_US"": ""Work Orders"", ""th_TH"": ""คำสั่งงาน""}",t,2026-08-18 09:30:22.095914,2026-08-18 09:30:22.095914,\N
508,20,506,1,1,505/506/508/,\N,"ir.actions.server,847","{""en_US"": ""Map"", ""th_TH"": ""แผนที่""}",t,2026-08-18 09:28:49.226076,2026-08-18 10:08:00.905796,\N
506,10,505,1,1,505/506/,\N,\N,"{""en_US"": ""My Tasks"", ""th_TH"": ""งานของฉัน""}",t,2026-08-18 09:28:49.226076,2026-08-18 10:08:00.905796,\N
512,20,505,1,1,505/512/,\N,\N,"{""en_US"": ""Planning"", ""th_TH"": ""การวางแผน""}",t,2026-08-18 09:28:49.226076,2026-08-18 10:08:00.905796,\N
520,10,518,1,1,505/518/520/,\N,"ir.actions.act_window,868","{""en_US"": ""Projects"", ""th_TH"": ""โปรเจ็กต์""}",t,2026-08-18 09:28:49.226076,2026-08-18 10:08:00.905796,\N
516,40,505,1,1,505/516/,\N,\N,"{""en_US"": ""Reporting"", ""th_TH"": ""การรายงาน""}",t,2026-08-18 09:28:49.226076,2026-08-18 10:08:00.905796,\N
519,0,518,1,1,505/518/519/,\N,"ir.actions.act_window,866","{""en_US"": ""Settings"", ""th_TH"": ""การตั้งค่า""}",t,2026-08-18 09:28:49.226076,2026-08-18 10:08:00.905796,\N
