id,model_id,group_id,create_uid,write_uid,name,active,perm_read,perm_write,perm_create,perm_unlink,create_date,write_date
1041,939,72,1,1,access.pos.make.payment,t,t,t,t,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1042,940,71,1,1,access.pos.close.session.wizard,t,t,t,t,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1043,496,71,1,1,account.cash.rounding pos_user,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1044,932,71,1,1,pos.bill pos_user,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1045,941,72,1,1,access.pos.daily.sales.reports.wizard,t,t,t,t,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1046,466,71,1,1,account.move,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1047,486,71,1,1,account.move.line,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1048,934,71,1,1,pos.note.user,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1049,934,72,1,1,pos.note.manager,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1050,935,71,1,1,pos.preset.user,t,t,f,f,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1051,935,72,1,1,pos.preset.manager,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1052,943,71,1,1,pos.make.invoice.user,t,t,t,t,f,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1053,943,72,1,1,pos.make.invoice.manager,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1054,942,71,1,1,pos.confirmation.wizard.user,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1055,942,72,1,1,pos.confirmation.wizard.manager,t,t,t,t,t,2026-03-30 06:57:43.846231,2026-03-30 06:57:43.846231
1056,944,71,1,1,pos.prep.line,t,t,t,t,t,2026-03-30 06:57:50.713151,2026-03-30 06:57:50.713151
1057,948,71,1,1,pos.prep.state,t,t,t,t,t,2026-03-30 06:57:50.713151,2026-03-30 06:57:50.713151
1058,945,71,1,1,pos.prep.order,t,t,t,t,t,2026-03-30 06:57:50.713151,2026-03-30 06:57:50.713151
1059,946,72,1,1,pos.prep.stage,t,t,t,t,t,2026-03-30 06:57:50.713151,2026-03-30 06:57:50.713151
1060,946,71,1,1,pos.prep.stage,t,t,f,f,f,2026-03-30 06:57:50.713151,2026-03-30 06:57:50.713151
1061,947,72,1,1,pos.prep.display,t,t,t,t,t,2026-03-30 06:57:50.713151,2026-03-30 06:57:50.713151
