id,create_uid,create_date,write_date,write_uid,website,summary,name,author,icon,state,latest_version,shortdesc,category_id,description,application,demo,web,license,sequence,auto_install,to_buy,maintainer,published_version,url,contributors,menus_by_module,reports_by_module,views_by_module,module_type,imported
596,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_ie_intrastat,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Irish Intrastat Declaration""}",74,"{""en_US"": ""\\nGenerates Intrastat XML report for declaration based on invoices for Ireland.\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
447,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_cg,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Congo - Accounting""}",72,"{""en_US"": ""\\nThis module implements the tax for Congo.\\n===========================================================\\n\\nThe Chart of Accounts is from SYSCOHADA.\\n\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
440,\N,\N,2026-03-31 02:06:23.599547,1,https://www.odoo.com/app/accounting,"{""en_US"": ""Print CA Checks""}",l10n_ca_check_printing,"Odoo SA, OERP Canada",/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Canadian Checks Layout""}",79,"{""en_US"": ""\\nThis module allows to print your payments on pre-printed checks.\\nYou can configure the output (layout, stubs, paper format, etc.) in company settings, and manage the\\nchecks numbering (if you use pre-printed checks without numbers) in journal settings.\\nAs per Canadian Payment Association (https://www.payments.ca/sites/default/files/standard_006_complete_0.pdf)\\n\\nSupported formats\\n-----------------\\n- Check on top: Quicken / QuickBooks standard\\n- Check on middle: Peachtree standard\\n- Check on bottom: ADP standard\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
366,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_ar_withholding,ADHOC SA,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Argentina - Payment Withholdings""}",71,"{""en_US"": ""Allows to register withholdings during the payment of an invoice.""}",f,f,f,LGPL-3,100,f,f,\N,\N,\N,\N,,,,official,\N
406,\N,\N,2026-03-31 02:06:23.599547,1,https://www.odoo.com/app/accounting,"{""en_US"": """"}",l10n_be_reports,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Belgium - Accounting Reports""}",74,"{""en_US"": ""\\nAccounting reports for Belgium\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
515,\N,\N,2026-03-31 02:06:23.599547,1,https://www.odoo.com/documentation/latest/applications/finance/fiscal_localizations.html,"{""en_US"": """"}",l10n_ee,Odoo SA,/account/static/description/l10n.png,uninstalled,\N,"{""en_US"": ""Estonia - Accounting""}",72,"{""en_US"": ""\\nThis is the base module to manage the accounting chart for Estonia in Odoo.\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
518,\N,\N,2026-03-31 02:06:23.599547,1,https://www.odoo.com/documentation/latest/applications/finance/fiscal_localizations/egypt.html,"{""en_US"": """"}",l10n_eg,Odoo S.A.,/account/static/description/l10n.png,uninstalled,\N,"{""en_US"": ""Egypt - Accounting""}",72,"{""en_US"": ""\\nEgypt Accounting Module\\n==============================================================================\\nEgypt Accounting Basic Charts and Localization.\\n\\nActivates:\\n\\n- Chart of Accounts\\n- Taxes\\n- VAT Return\\n- Withholding Tax Report\\n- Schedule Tax Report\\n- Other Taxes Report\\n- Fiscal Positions\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
610,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_in_pos,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Indian - Point of Sale""}",73,"{""en_US"": ""GST Point of Sale""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
703,\N,\N,2026-03-31 02:06:23.599547,1,http://www.vauxoo.com,"{""en_US"": """"}",l10n_mx_reports,Vauxoo,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Odoo Mexican Localization Reports""}",74,"{""en_US"": ""\\nElectronic accounting reports\\n    - COA\\n    - Trial Balance\\n\\nDIOT Report\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
731,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_om_reports,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Oman - Accounting Reports""}",74,"{""en_US"": ""\\nOman - Accounting Reports\\n=================================================================\\nOman accounting enterprise features.\\nActivates:\\n- Tax Return\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
641,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": ""\\n        Kenya eTIMS Device EDI Manufacturing Integration\\n    ""}",l10n_ke_edi_oscu_mrp,Odoo,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Kenya ETIMS EDI Manufacturing Integration""}",75,"{""en_US"": ""\\nThis module integrates with the Kenyan eTIMS device (OSCU).\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
777,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": ""\\n        E-Invoicing, Universal Business Language\\n    ""}",l10n_sa_edi,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Saudi Arabia - E-invoicing""}",75,"{""en_US"": ""\\nE-invoice implementation for Saudi Arabia; Integration with ZATCA\\n""}",f,f,f,LGPL-3,100,f,f,\N,\N,\N,\N,,,,official,\N
797,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_si_reports,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Slovenia - Accounting Reports""}",74,"{""en_US"": ""Base module for Slovenian reports ""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
837,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_tz_account,Odoo S.A.,/account/static/description/l10n.png,uninstalled,\N,"{""en_US"": ""Tanzania - Accounting""}",72,"{""en_US"": ""\\nTanzanian localisation containing:\\n- COA\\n- Taxes\\n- Tax report\\n- Fiscal position\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
795,\N,\N,2026-03-31 02:06:23.599547,1,https://www.odoo.com/documentation/latest/applications/finance/fiscal_localizations.html,"{""en_US"": """"}",l10n_si,Odoo S.A.,/account/static/description/l10n.png,uninstalled,\N,"{""en_US"": ""Slovenian - Accounting""}",72,"{""en_US"": ""\\nChart of accounts and taxes for Slovenia.\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
684,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_mn_reports,"BumanIT LLC, Odoo S.A",/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Mongolia - Accounting Reports""}",74,"{""en_US"": ""\\nMongolian accounting reports.\\n====================================================\\n-Profit and Loss\\n-Balance Sheet\\n-Cash Flow Statement\\n-VAT Repayment Report\\n-Corporate Revenue Tax Report\\n\\nFinancial requirement contributor: Baskhuu Lodoikhuu. BumanIT LLC\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
714,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_mz_reports,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Mozambique - Accounting Reports""}",74,"{""en_US"": ""\\nBase module for Mozambican reports\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
722,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_nl_intrastat,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Netherlands Intrastat Declaration""}",74,"{""en_US"": ""\\nGenerates Netherlands Intrastat report for declaration based on invoices\\nand submit your Intracommunity Services to the Dutch tax authorities.\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
652,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_kr,Odoo S.A.,/account/static/description/l10n.png,uninstalled,\N,"{""en_US"": ""Republic of Korea - Accounting""}",72,"{""en_US"": ""\\nAccounting Module for the Republic of Korea\\n===========================================\\nThis provides a base chart of accounts and taxes template for use in Odoo.\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
713,\N,\N,2026-03-31 02:06:23.599547,1,https://www.odoo.com/documentation/latest/applications/finance/fiscal_localizations.html,"{""en_US"": """"}",l10n_mz,Odoo S.A.,/account/static/description/l10n.png,uninstalled,\N,"{""en_US"": ""Mozambique - Accounting""}",72,"{""en_US"": ""\\nMozambican Accounting localization\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
755,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_pl_reports_pos_jpk,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Poland - JPK_VAT PoS Enterprise""}",74,"{""en_US"": ""\\nThis module provides the information from PoS for the JPK of Poland\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
775,\N,\N,2026-03-31 02:06:23.599547,1,https://www.odoo.com/app/accounting,"{""en_US"": """"}",l10n_rw_reports,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Rwanda - Accounting Reports""}",74,"{""en_US"": ""\\nAccounting reports for Rwanda\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
861,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_uy_pos,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Uruguayan - Point of Sale""}",73,"{""en_US"": ""\\nThis module brings the technical requirement for the Uruguayan regulation.\\nInstall this if you are using the Point of Sale app in Uruguay.\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
759,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_qa,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Qatar - Accounting""}",72,"{""en_US"": ""\\nThis is the base module to manage the accounting chart for Qatar in Odoo.\\n==============================================================================\\nQatar accounting basic charts and localization.\\nActivates:\\n- Chart of accounts\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
856,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": ""Export payments as NACHA files""}",l10n_us_payment_nacha,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""NACHA Payments""}",3,"{""en_US"": ""\\nExport payments as NACHA files for use in the United States.\\n""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,,,,official,\N
833,\N,\N,2026-03-31 02:06:23.599547,1,https://www.odoo.com/documentation/latest/applications/finance/fiscal_localizations.html,"{""en_US"": """"}",l10n_tw,Odoo PS,/account/static/description/l10n.png,uninstalled,\N,"{""en_US"": ""Taiwan - Accounting""}",72,"{""en_US"": ""\\nThis is the base module to manage the accounting chart for Taiwan in Odoo.\\n==============================================================================\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
806,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": """"}",l10n_td,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Tchad - Accounting""}",72,"{""en_US"": ""\\nThis module implements the tax for Tchad.\\n=================================================================\\n\\nThe Chart of Accounts is from SYSCOHADA.\\n\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
778,\N,\N,2026-03-31 02:06:23.599547,1,,"{""en_US"": ""\\n        ZATCA E-Invoicing, support for PoS\\n    ""}",l10n_sa_edi_pos,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Saudi Arabia - E-invoicing (Simplified)""}",75,"{""en_US"": ""\\nE-invoice implementation for Saudi Arabia; Integration with ZATCA (POS)\\n""}",f,f,f,LGPL-3,100,f,f,\N,\N,\N,\N,,,,official,\N
