id,model_id,create_uid,write_uid,name,domain_force,active,perm_read,perm_write,perm_create,perm_unlink,global,create_date,write_date
165,613,1,1,Quotation Template multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:04:39.706647,2026-03-18 05:04:39.706647
191,660,1,1,Account Loan multi-company,"[('company_id', 'parent_of', company_ids)]",t,t,t,t,t,t,2026-03-18 05:30:16.035455,2026-03-29 06:25:03.365038
167,616,1,1,Quotation document multi-company rule,"\n            ['|', ('company_id', '=', False), ('company_id', 'parent_of', company_ids)]\n        ",t,t,t,t,t,t,2026-03-18 05:04:41.349774,2026-03-18 05:04:41.349774
168,618,1,1,Order Spreadsheet multi-company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:04:42.983171,2026-03-18 05:04:42.983171
169,618,1,1,Manager Order Spreadsheets,"[(1, '=', 1)]",t,t,t,t,t,f,2026-03-18 05:04:42.983171,2026-03-18 05:04:42.983171
170,618,1,1,Order Spreadsheet Templates,"[('order_id','=',False)]",t,t,f,f,f,f,2026-03-18 05:04:42.983171,2026-03-18 05:04:42.983171
171,618,1,1,Personal Order Spreadsheets,"[\n                ('order_id','!=',False),\n                '|',('order_id.user_id','=',user.id),('order_id.user_id','=',False)\n            ]",t,t,t,t,t,f,2026-03-18 05:04:42.983171,2026-03-18 05:04:42.983171
172,618,1,1,All Orders Spreadsheets,"[('order_id','!=',False)]",t,t,t,t,t,f,2026-03-18 05:04:42.983171,2026-03-18 05:04:42.983171
173,526,1,1,Sale order spreadsheet threads: groups,"[('sale_order_spreadsheet_id','!=',False)]",t,t,t,t,t,f,2026-03-18 05:04:42.983171,2026-03-18 05:04:42.983171
174,526,1,1,Personal Order Spreadsheets Comments,"[\n                ('sale_order_spreadsheet_id','!=',False),\n                ('sale_order_spreadsheet_id.order_id','!=',False),\n                '|',('sale_order_spreadsheet_id.order_id.user_id','=',user.id),('sale_order_spreadsheet_id.order_id.user_id','=',False)\n            ]",t,t,t,t,t,f,2026-03-18 05:04:42.983171,2026-03-18 05:04:42.983171
175,526,1,1,All Orders Spreadsheets Comments,"[('sale_order_spreadsheet_id','!=',False),('sale_order_spreadsheet_id.order_id','!=',False)]",t,t,t,t,t,f,2026-03-18 05:04:42.983171,2026-03-18 05:04:42.983171
176,628,1,1,Own events,"[('partner_ids', 'in', user.partner_id.id)]",t,t,t,t,t,f,2026-03-18 05:05:32.057443,2026-03-18 05:05:32.057443
177,628,1,1,All Calendar Event for employees,"[(1, '=', 1)]",t,t,t,t,t,f,2026-03-18 05:05:32.057443,2026-03-18 05:05:32.057443
178,626,1,1,Own attendees,"[(1, '=', 1)]",t,t,t,t,t,f,2026-03-18 05:05:32.057443,2026-03-18 05:05:32.057443
179,628,1,1,Private events,"['|', ('privacy', '!=', 'private'), '&', ('privacy', '=', 'private'), '|', ('user_id', '=', user.id), ('partner_ids', 'in', user.partner_id.id)]",t,f,t,t,t,t,2026-03-18 05:05:32.057443,2026-03-18 05:05:32.057443
180,636,1,1,Personal Leads,"['|',('user_id','=',user.id),('user_id','=',False)]",t,t,t,t,t,f,2026-03-18 05:05:38.118228,2026-03-18 05:05:38.118228
181,636,1,1,CRM Lead Multi-Company,"[('company_id', 'in', company_ids + [False])]",t,t,t,t,t,t,2026-03-18 05:05:38.118228,2026-03-18 05:05:38.118228
182,636,1,1,All Leads,"[(1,'=',1)]",t,t,t,t,t,f,2026-03-18 05:05:38.118228,2026-03-18 05:05:38.118228
183,642,1,1,All Activities,"[(1,'=',1)]",t,t,t,t,t,f,2026-03-18 05:05:38.118228,2026-03-18 05:05:38.118228
184,642,1,1,Personal Activities,"['|',('user_id','=',user.id),('user_id','=',False)]",t,t,t,t,t,f,2026-03-18 05:05:38.118228,2026-03-18 05:05:38.118228
