menu_id	depth	is_leaf	children	opens	path
426	3	1	0	ir.actions.act_window,560	Repairs / Configuration / Product Variants
425	3	1	0	ir.actions.act_window,559	Repairs / Configuration / Products
427	3	1	0	ir.actions.act_window,688	Repairs / Configuration / Repair Orders Tags
421	2	1	0	ir.actions.act_window,684	Repairs / Orders
422	2	0	1		Repairs / Reporting
423	3	1	0	ir.actions.act_window,685	Repairs / Reporting / Repairs
239	1	0	5		Sales
257	2	0	6		Sales / Configuration
273	3	0	2		Sales / Configuration / Activities
275	4	1	0	ir.actions.act_window,392	Sales / Configuration / Activities / Activity Plans
274	4	1	0	ir.actions.act_window,391	Sales / Configuration / Activities / Activity Types
268	3	0	4		Sales / Configuration / Online Payments
270	4	1	0	ir.actions.act_window,230	Sales / Configuration / Online Payments / Payment Methods
269	4	1	0	ir.actions.act_window,229	Sales / Configuration / Online Payments / Payment Providers
271	4	1	0	ir.actions.act_window,233	Sales / Configuration / Online Payments / Payment Tokens
272	4	1	0	ir.actions.act_window,231	Sales / Configuration / Online Payments / Payment Transactions
262	3	0	5		Sales / Configuration / Products
263	4	1	0	ir.actions.act_window,188	Sales / Configuration / Products / Attributes
265	4	1	0	ir.actions.act_window,189	Sales / Configuration / Products / Categories
264	4	1	0	ir.actions.act_window,190	Sales / Configuration / Products / Combo Choices
266	4	1	0	ir.actions.act_window,181	Sales / Configuration / Products / Product Tags
267	4	1	0	ir.actions.act_window,90	Sales / Configuration / Products / Units & Packagings
260	3	0	4		Sales / Configuration / Sales Orders
658	4	1	0	ir.actions.act_window,1010	Sales / Configuration / Sales Orders / Delivery Methods
278	4	1	0	ir.actions.act_window,400	Sales / Configuration / Sales Orders / Headers/Footers
277	4	1	0	ir.actions.act_window,397	Sales / Configuration / Sales Orders / Quotation Templates
261	4	1	0	ir.actions.act_window,204	Sales / Configuration / Sales Orders / Tags
259	3	1	0	ir.actions.act_window,207	Sales / Configuration / Sales Teams
258	3	1	0	ir.actions.act_window,375	Sales / Configuration / Settings
240	2	0	4		Sales / Orders
244	3	1	0	ir.actions.act_window,305	Sales / Orders / Customers
242	3	1	0	ir.actions.act_window,377	Sales / Orders / Orders
241	3	1	0	ir.actions.act_window,378	Sales / Orders / Quotations
243	3	1	0	ir.actions.act_window,205	Sales / Orders / Sales Teams
248	2	0	5		Sales / Products
660	3	1	0	ir.actions.act_window,962	Sales / Products / Discount & Loyalty
661	3	1	0	ir.actions.act_window,963	Sales / Products / Gift cards & eWallet
251	3	1	0	ir.actions.act_window,191	Sales / Products / Pricelists
250	3	1	0	ir.actions.act_window,185	Sales / Products / Product Variants
249	3	1	0	ir.actions.act_window,393	Sales / Products / Products
252	2	0	4		Sales / Reporting
256	3	1	0	ir.actions.act_window,365	Sales / Reporting / Customers
255	3	1	0	ir.actions.act_window,364	Sales / Reporting / Products
253	3	1	0	ir.actions.act_window,362	Sales / Reporting / Sales
254	3	1	0	ir.actions.act_window,363	Sales / Reporting / Salespersons
245	2	0	2		Sales / To Invoice
246	3	1	0	ir.actions.act_window,380	Sales / To Invoice / Orders to Invoice
247	3	1	0	ir.actions.act_window,381	Sales / To Invoice / Orders to Upsell
1	1	0	7		Settings
2	2	1	0		Settings / Custom Shortcuts
428	2	0	6		Settings / Gamification Tools
432	3	1	0	ir.actions.act_window,696	Settings / Gamification Tools / Badges
429	3	1	0	ir.actions.act_window,700	Settings / Gamification Tools / Challenges
431	3	1	0	ir.actions.act_window,699	Settings / Gamification Tools / Goal Definitions
430	3	1	0	ir.actions.act_window,697	Settings / Gamification Tools / Goals
434	3	1	0	ir.actions.act_window,695	Settings / Gamification Tools / Karma Tracking
433	3	1	0	ir.actions.act_window,694	Settings / Gamification Tools / Ranks
68	2	1	0	ir.actions.act_window,85	Settings / General Settings
7	2	1	0		Settings / General Settings
8	2	0	16		Settings / Technical
18	3	0	8		Settings / Technical / Actions
19	4	1	0	ir.actions.act_window,6	Settings / Technical / Actions / Actions
22	4	1	0	ir.actions.act_window,9	Settings / Technical / Actions / Client Actions
25	4	1	0	ir.actions.act_window,12	Settings / Technical / Actions / Configuration Wizards
24	4	1	0	ir.actions.act_window,11	Settings / Technical / Actions / Embedded Actions
20	4	1	0	ir.actions.act_window,7	Settings / Technical / Actions / Reports
23	4	1	0	ir.actions.act_window,10	Settings / Technical / Actions / Server Actions
46	4	1	0	ir.actions.act_window,34	Settings / Technical / Actions / User-defined Defaults
21	4	1	0	ir.actions.act_window,8	Settings / Technical / Actions / Window Actions
114	3	0	3		Settings / Technical / Activities
115	4	1	0	ir.actions.act_window,128	Settings / Technical / Activities / Activity Overview
117	4	1	0	ir.actions.act_window,131	Settings / Technical / Activities / Activity Plans
116	4	1	0	ir.actions.act_window,127	Settings / Technical / Activities / Activity Types
12	3	0	3		Settings / Technical / Automation
694	4	1	0	ir.actions.act_window,1077	Settings / Technical / Automation / Automation Rules
28	4	1	0	ir.actions.act_window,16	Settings / Technical / Automation / Scheduled Actions
29	4	1	0	ir.actions.act_window,17	Settings / Technical / Automation / Scheduled Actions Triggers
126	3	0	2		Settings / Technical / Calendar
