id,model_id,group_id,create_uid,write_uid,name,active,perm_read,perm_write,perm_create,perm_unlink,create_date,write_date
874,737,60,1,1,vendor.delay.report user,t,t,f,f,f,2026-02-02 12:49:19.381182,2026-05-16 09:42:31.122495
2249,1656,4,613,613,res_partner_line group_system,t,t,t,t,t,2026-04-01 04:24:06.437805,2026-04-01 04:24:06.437805
1461,1067,108,1,1,access_hr_timesheet_merge_wizard,t,t,t,t,t,2026-02-09 14:31:49.435188,2026-03-28 09:54:17.357616
1462,1068,108,1,1,access_hr_timesheet_stop_timer_confirmation_wizard,t,t,t,t,f,2026-02-09 14:31:49.435188,2026-03-28 09:54:17.357616
1502,1092,121,1,1,access_report_project_task_user_fsm,t,t,f,f,f,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323
1503,1094,120,1,1,access_project_task_stop_timers_wizard_user_fsm,t,t,t,t,f,2026-02-09 14:33:37.168105,2026-03-28 09:54:21.171323
1912,1319,91,1,1,project.timesheet.forecast.report.analysis,t,t,f,f,f,2026-02-09 14:52:36.704721,2026-03-28 09:54:25.985122
1913,1319,90,1,1,project.timesheet.forecast.report.analysis,t,t,f,f,f,2026-02-09 14:52:36.704721,2026-03-28 09:54:25.985122
1640,1154,120,1,1,access_fsm_repair,t,t,f,f,f,2026-02-09 14:36:08.811605,2026-03-28 09:54:42.910837
2250,1656,1,613,613,res_partner_line group_user,t,t,t,t,f,2026-04-01 04:24:06.437805,2026-04-01 04:24:06.437805
2209,1625,191,1,1,purchase.request,t,t,t,t,t,2026-03-23 02:36:59.36667,2026-06-05 03:45:45.128094
2210,1625,192,1,1,purchase.request,t,t,t,t,t,2026-03-23 02:36:59.36667,2026-06-05 03:45:45.128094
2211,1626,191,1,1,purchase.request.line,t,t,t,t,t,2026-03-23 02:36:59.36667,2026-06-05 03:45:45.128094
2212,1626,192,1,1,purchase.request.line,t,t,t,t,t,2026-03-23 02:36:59.36667,2026-06-05 03:45:45.128094
2213,676,191,1,1,stock.move,t,t,f,f,f,2026-03-23 02:36:59.36667,2026-06-05 03:45:45.128094
2214,731,191,1,1,access.purchase.order.user,t,t,f,f,f,2026-03-23 02:36:59.36667,2026-06-05 03:45:45.128094
2215,732,191,1,1,access.purchase.order.line.user,t,t,f,f,f,2026-03-23 02:36:59.36667,2026-06-05 03:45:45.128094
2216,731,192,1,1,access.purchase.order.manager,t,t,f,f,f,2026-03-23 02:36:59.36667,2026-06-05 03:45:45.128094
2217,732,192,1,1,access.purchase.order.line.manager,t,t,f,f,f,2026-03-23 02:36:59.36667,2026-06-05 03:45:45.128094
