source_table,constraint,source_column,target_table,target_column
account_analytic_line,account_analytic_line_product_uom_id_fkey,product_uom_id,uom_uom,id
account_analytic_line,account_analytic_line_project_id_fkey,project_id,project_project,id
account_analytic_line,account_analytic_line_so_line_fkey,so_line,sale_order_line,id
account_analytic_line_stock_move_rel,account_analytic_line_stock_move__account_analytic_line_id_fkey,account_analytic_line_id,account_analytic_line,id
account_analytic_line_stock_move_rel,account_analytic_line_stock_move_rel_stock_move_id_fkey,stock_move_id,stock_move,id
account_analytic_line,account_analytic_line_task_id_fkey,task_id,project_task,id
account_analytic_line,account_analytic_line_timesheet_invoice_id_fkey,timesheet_invoice_id,account_move,id
account_analytic_line,account_analytic_line_user_id_fkey,user_id,res_users,id
account_analytic_line,account_analytic_line_write_uid_fkey,write_uid,res_users,id
account_analytic_plan,account_analytic_plan_create_uid_fkey,create_uid,res_users,id
account_analytic_plan,account_analytic_plan_parent_id_fkey,parent_id,account_analytic_plan,id
account_analytic_plan,account_analytic_plan_write_uid_fkey,write_uid,res_users,id
account_asset,account_asset_account_asset_id_fkey,account_asset_id,account_account,id
account_asset,account_asset_account_depreciation_expense_id_fkey,account_depreciation_expense_id,account_account,id
account_asset,account_asset_account_depreciation_id_fkey,account_depreciation_id,account_account,id
account_asset,account_asset_asset_group_id_fkey,asset_group_id,account_asset_group,id
account_asset,account_asset_company_id_fkey,company_id,res_company,id
account_asset,account_asset_create_uid_fkey,create_uid,res_users,id
account_asset,account_asset_currency_id_fkey,currency_id,res_currency,id
account_asset_group,account_asset_group_company_id_fkey,company_id,res_company,id
account_asset_group,account_asset_group_create_uid_fkey,create_uid,res_users,id
account_asset_group,account_asset_group_write_uid_fkey,write_uid,res_users,id
account_asset,account_asset_journal_id_fkey,journal_id,account_journal,id
account_asset_maintenance_equipment_category_rel,account_asset_maintenance_equ_maintenance_equipment_catego_fkey,maintenance_equipment_category_id,maintenance_equipment_category,id
account_asset_maintenance_equipment_category_rel,account_asset_maintenance_equipment_categ_account_asset_id_fkey,account_asset_id,account_asset,id
account_asset,account_asset_model_id_fkey,model_id,account_asset,id
account_asset,account_asset_name_asset_fkey,name_asset,maintenance_equipment,id
account_asset,account_asset_parent_id_fkey,parent_id,account_asset,id
account_asset,account_asset_vehicle_id_fkey,vehicle_id,fleet_vehicle,id
account_asset,account_asset_write_uid_fkey,write_uid,res_users,id
account_audit_account_status,account_audit_account_status_account_id_fkey,account_id,account_account,id
account_audit_account_status,account_audit_account_status_audit_id_fkey,audit_id,account_return,id
account_audit_account_status,account_audit_account_status_create_uid_fkey,create_uid,res_users,id
account_audit_account_status,account_audit_account_status_write_uid_fkey,write_uid,res_users,id
account_auto_reconcile_wizard_res_partner_rel,account_auto_reconcile_wizar_account_auto_reconcile_wizar_fkey1,account_auto_reconcile_wizard_id,account_auto_reconcile_wizard,id
