id,product_id,company_id,location_id,lot_id,package_id,owner_id,user_id,create_uid,write_uid,inventory_date,quantity,reserved_quantity,inventory_quantity,inventory_diff_quantity,inventory_quantity_set,in_date,create_date,write_date,accounting_date,expiration_date,removal_date
130731,439,1,5,\N,\N,\N,\N,2,42,2026-12-31,19.00,1.00,0.00,0.00,f,2026-06-26 06:37:11,2026-06-26 06:35:08.98363,2026-06-30 08:40:06.67395,\N,\N,\N
130243,1833,1,5,\N,\N,\N,\N,2,2,2026-12-31,26.00,26.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-08-03 00:36:20.359613,\N,\N,\N
130244,1834,1,5,\N,\N,\N,\N,2,2,2026-12-31,56.00,34.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-08-03 04:36:30.330104,\N,\N,\N
134973,2233,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
134976,2235,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
134979,2237,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
134982,2258,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
134985,2263,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
134988,276,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:11,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
134991,283,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:11,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
134994,258,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:11,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
134998,274,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:11,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135001,346,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135005,347,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135008,2459,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:13,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135011,2460,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:13,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135014,2385,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135017,2391,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:13,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135020,352,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135023,360,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135026,332,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:11,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135029,803,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135032,839,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135035,819,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:08,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135040,762,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:10,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135043,764,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:10,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135046,830,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:08,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135049,937,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:11,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135052,946,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:11,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135055,856,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135058,975,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135061,976,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135064,1004,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135067,1006,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135070,1005,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135073,5871,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 08:51:55,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135077,1087,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135080,2406,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135083,2408,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:12,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135086,1895,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 07:33:14,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135090,1936,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 07:33:14,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135093,1165,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:08,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135096,1171,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:08,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135099,1172,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:08,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135102,1499,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135105,1502,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135107,1534,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135109,1535,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135111,1467,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135113,1468,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135115,1469,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135117,1532,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:09,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135119,1709,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:10,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135120,1730,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:10,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135121,1732,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:10,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
135122,1602,7,59,\N,\N,\N,\N,42,42,2026-12-31,1.00,0.00,\N,0.00,f,2026-06-26 06:37:08,2026-06-30 08:43:48.477258,2026-06-30 08:43:48.477258,\N,\N,\N
130815,282,1,5,\N,\N,\N,\N,2,42,2026-12-31,28.00,6.00,0.00,0.00,f,2026-06-26 06:37:11,2026-06-26 06:35:08.98363,2026-06-30 08:40:06.67395,\N,\N,\N
130850,1118,1,5,\N,\N,\N,\N,2,2,2026-12-31,6.00,3.00,0.00,0.00,f,2026-06-26 06:37:11,2026-06-26 06:35:08.98363,2026-07-17 07:21:26.18647,\N,\N,\N
130206,1163,1,5,\N,\N,\N,\N,2,2,2026-12-31,31.00,13.00,0.00,0.00,f,2026-06-26 06:37:08,2026-06-26 06:35:08.98363,2026-07-27 11:21:53.011445,\N,\N,\N
130334,1538,1,5,\N,\N,\N,\N,2,2,2026-12-31,19.00,9.00,0.00,0.00,f,2026-06-26 06:37:09,2026-06-26 06:35:08.98363,2026-07-29 07:36:16.021669,\N,\N,\N
130490,869,1,5,\N,\N,\N,\N,2,46,2026-12-31,10.00,0.00,0.00,0.00,f,2026-06-26 06:37:10,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
131152,2389,1,5,\N,\N,\N,\N,2,46,2026-12-31,213.00,6.00,0.00,0.00,f,2026-06-26 06:37:12,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
131155,2392,1,5,\N,\N,\N,\N,2,46,2026-12-31,7.00,2.00,0.00,0.00,f,2026-06-26 06:37:13,2026-06-26 06:35:08.98363,2026-06-30 08:40:07.557949,\N,\N,\N
132485,1903,1,5,\N,\N,\N,\N,2,46,2026-12-31,7.00,2.00,0.00,0.00,f,2026-06-26 07:33:14,2026-06-26 07:32:51.75853,2026-06-30 08:40:07.557949,\N,\N,\N
132499,1927,1,5,\N,\N,\N,\N,2,46,2026-12-31,31.00,2.00,0.00,0.00,f,2026-06-26 07:33:14,2026-06-26 07:32:51.75853,2026-06-30 08:40:07.557949,\N,\N,\N
