id,ir_actions_server_id,user_id,interval_number,priority,failure_count,create_uid,write_uid,cron_name,interval_type,active,nextcall,lastcall,first_failure_date,create_date,write_date
58,972,1,1,5,0,1,1,Project Stage: Send rating,days,t,2026-07-15 07:31:33,2026-07-14 07:31:48,\N,2026-02-04 07:31:27.821472,2026-02-04 07:31:27.821472
35,440,1,1,5,0,1,1,AI Fields: Compute AI fields,days,t,2026-07-15 12:46:34,2026-07-14 12:46:37,\N,2026-02-02 12:46:30.384592,2026-02-02 12:46:30.384592
41,618,1,1,5,0,1,1,Stock Account: Inventory Valuation Closing,days,t,2026-07-15 12:48:43,2026-07-14 12:49:02,\N,2026-02-02 12:48:42.758523,2026-02-02 12:48:42.758523
50,819,1,1,5,0,1,1,Gamification: Karma tracking consolidation,months,t,2026-08-01 04:00:00,2026-07-01 04:00:06,\N,2026-02-02 12:52:04.851472,2026-02-02 12:52:04.851472
1,35,1,1,3,0,1,1,Base: Auto-vacuum internal data,days,t,2026-07-15 12:35:16,2026-07-14 12:35:21,\N,2026-02-02 12:34:59.026001,2026-02-02 12:45:16.389543
13,209,1,24,5,0,1,1,SMS: SMS Queue Manager,hours,t,2026-07-15 12:45:39,2026-07-14 12:46:37,\N,2026-02-02 12:45:37.567054,2026-02-02 12:45:37.567054
20,328,1,1,5,0,1,1,Currency: rate update,days,t,2026-07-15 12:46:06,2026-07-14 12:46:37,\N,2026-02-02 12:46:06.458367,2026-06-27 03:53:30.115326
36,441,1,1,5,0,1,1,Calendar: Event Reminder,days,t,2026-07-15 12:47:14,2026-07-14 12:47:38,\N,2026-02-02 12:47:09.008714,2026-02-02 12:47:09.008714
5,134,1,1,5,0,1,1,Notification: Delete Notifications older than 6 Months,months,t,2026-08-02 12:45:24,2026-07-02 12:45:42,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
47,803,1,1,5,0,1,1,Expense OCR: Update All Status,days,t,2026-07-15 12:51:23,2026-07-14 12:51:43,\N,2026-02-02 12:51:23.160576,2026-03-13 18:57:10.651097
69,1367,1,1,5,0,1,1,Documents: Access Tracking,months,t,2026-08-09 14:37:44,2026-07-09 14:38:29,\N,2026-02-09 14:37:37.06107,2026-02-09 14:37:37.06107
42,633,1,1,5,0,1,1,Purchase reminder,days,t,2026-07-15 12:49:17,2026-07-14 12:49:41,\N,2026-02-02 12:49:13.155761,2026-02-02 12:49:13.155761
21,330,1,12,5,0,1,1,Account: Journal online sync,hours,t,2026-07-15 00:46:08,2026-07-14 12:46:37,\N,2026-02-02 12:46:07.904296,2026-02-02 12:46:07.904296
14,218,1,24,5,0,1,1,Snailmail: process letters queue,hours,t,2026-07-15 12:45:41,2026-07-14 12:46:37,\N,2026-02-02 12:45:40.488063,2026-02-02 12:45:40.488063
7,136,1,1,5,0,1,1,Mail: Post scheduled messages,days,t,2026-07-15 12:45:24,2026-07-14 12:45:35,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
39,485,1,24,5,0,1,1,CRM: enrich leads (IAP),hours,t,2026-07-15 12:47:20,2026-07-14 12:47:38,\N,2026-02-02 12:47:19.850601,2026-02-02 12:47:19.850601
79,1541,1,1,5,0,1,1,Payroll: Update data,weeks,t,2026-07-17 03:00:39.695731,2026-07-10 03:00:41,\N,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
9,138,1,1,5,0,1,1,Mail: send web push notification,days,t,2026-07-15 12:45:24,2026-07-14 12:45:35,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
18,305,1,1,5,0,1,1,Send invoices automatically,days,t,2026-07-15 12:45:58,2026-07-14 12:46:37,\N,2026-02-02 12:45:47.890983,2026-06-27 03:52:58.808703
70,1382,1,1,5,0,1,1,AI Documents: Sort documents with AI,days,t,2026-07-15 14:37:46,2026-07-14 14:38:35,\N,2026-02-09 14:37:45.734569,2026-03-13 18:56:18.157531
73,1434,1,4,5,0,1,1,Attendance: Automatically check-out employees,hours,t,2026-07-14 18:41:14,2026-07-14 14:41:44,\N,2026-02-09 14:41:08.452798,2026-02-09 14:41:08.452798
74,1435,1,4,5,0,1,1,Attendance: Detect Absences for employees,hours,t,2026-07-14 18:41:14,2026-07-14 14:41:44,\N,2026-02-09 14:41:08.452798,2026-02-09 14:41:08.452798
75,1449,1,1,5,0,1,1,Accrual Time Off: Updates the number of time off,days,t,2026-07-15 14:41:53,2026-07-14 14:42:02,\N,2026-02-09 14:41:46.096702,2026-02-09 14:41:46.096702
76,1450,1,1,5,0,1,1,Time Off: Cancel invalid leaves,days,t,2026-07-15 14:41:53,2026-07-14 14:42:02,\N,2026-02-09 14:41:46.096702,2026-02-09 14:41:46.096702
77,1494,1,1,5,0,1,1,Fleet: Generate contracts costs based on costs frequency,days,t,2026-07-15 14:42:41,2026-07-14 14:42:45,\N,2026-02-09 14:42:34.289973,2026-02-09 14:42:34.289973
16,224,1,10,5,0,1,1,Payment: Post-process transactions,minutes,t,2026-07-14 16:35:46,2026-07-14 16:25:49,\N,2026-02-02 12:45:42.038248,2026-02-03 05:12:46.083618
2,36,1,1,8,0,1,1,Base: Portal Users Deletion,days,t,2026-07-15 12:35:16,2026-07-14 12:35:25,\N,2026-02-02 12:34:59.026001,2026-02-02 12:45:16.389543
29,413,1,1,5,0,1,1,Account Report Followup; Execute followup,days,t,2026-07-15 02:00:56,2026-07-14 02:01:46,\N,2026-02-02 12:46:20.935518,2026-03-13 18:56:55.704176
46,787,1,1,5,0,1,1,HR Expense: Send Submitted Expenses Mail,weeks,t,2026-07-20 12:51:21,2026-07-13 12:52:08,\N,2026-02-02 12:51:15.626366,2026-06-27 03:53:31.669108
11,159,1,1,6,0,1,1,Users: Notify About Unregistered Users,days,t,2026-07-15 12:45:26,2026-07-14 12:45:35,\N,2026-02-02 12:45:26.773096,2026-02-02 12:45:26.773096
26,360,1,1,5,0,1,1,Generate or refresh account return for every companies,days,t,2026-07-14 18:56:40,2026-07-13 18:57:01,\N,2026-02-02 12:46:09.338668,2026-03-13 18:56:38.341384
72,1432,1,1,5,0,1,1,Planning: generate next recurring shifts,weeks,t,2026-07-20 14:40:28,2026-07-13 14:40:31,\N,2026-02-09 14:40:21.562716,2026-02-09 14:40:21.562716
62,1088,1,1,5,0,1,1,Recruitment OCR: Update All Status,days,t,2026-07-15 14:31:04,2026-07-14 14:31:33,\N,2026-02-09 14:31:03.889953,2026-03-13 18:56:46.176532
24,333,1,1,5,0,1,1,Account: Journal online sync cleanup unused connections,days,t,2026-07-15 12:46:08,2026-07-14 12:46:37,\N,2026-02-02 12:46:07.904296,2026-02-02 12:46:07.904296
25,358,1,1,5,0,1,1,Send account reports automatically,days,t,2026-07-15 12:46:13,2026-07-14 12:46:37,\N,2026-02-02 12:46:09.338668,2026-03-13 18:56:38.341384
63,1089,1,1,5,0,1,1,Recruitment OCR: Validate CV,days,t,2026-07-15 14:31:04,2026-07-14 14:31:33,\N,2026-02-09 14:31:03.889953,2026-03-13 18:56:46.176532
45,702,1,1,5,0,1,1,Skills: Add an activity to employees with missing or expiring certifications,days,t,2026-07-15 12:50:32,2026-07-14 12:50:42,\N,2026-02-02 12:50:31.33077,2026-02-02 12:50:31.33077
64,1121,1,1,5,0,1,1,Timesheet: Employees Email Reminder,days,t,2026-07-15 14:31:50,2026-07-14 14:32:34,\N,2026-02-09 14:31:49.435188,2026-02-09 14:31:49.435188
8,137,1,1,5,0,1,1,Notification: Notify scheduled messages,hours,t,2026-07-14 16:45:24,2026-07-14 15:45:27,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
86,1704,1,1,5,0,1,1,Auto-generate date ranges,days,t,2026-07-15 03:03:49,2026-07-14 03:03:54,\N,2026-02-14 03:03:43.427034,2026-02-14 03:03:43.427034
65,1122,1,1,5,0,1,1,Timesheet: Approvers Email Reminder,days,f,2026-07-09 14:31:50,2026-07-09 04:22:59,\N,2026-02-09 14:31:49.435188,2026-02-09 14:31:49.435188
78,1500,1,1,5,0,1,1,Generate Missing Work Entries,days,t,2026-07-15 14:43:31,2026-07-14 14:43:46,\N,2026-02-09 14:43:29.916175,2026-02-09 14:43:29.916175
15,220,1,1,5,0,1,1,Digest Emails,days,t,2026-07-15 14:45:41,2026-07-14 14:45:48,\N,2026-02-02 12:45:41.404602,2026-02-02 12:45:41.404602
81,1611,1,1,5,0,1,1,Appraisal: Run employee appraisal,days,t,2026-07-15 14:46:21,2026-07-14 14:46:39,\N,2026-02-09 14:46:12.874725,2026-02-09 14:46:12.874725
82,1645,1,1,5,0,1,1,MPS: replenish automated schedules,days,t,2026-07-15 14:55:20,2026-07-14 14:55:53,\N,2026-02-09 14:55:13.517558,2026-03-14 03:55:22.487643
83,1668,1,12,5,0,1,1,Google Calendar: synchronization,hours,t,2026-07-15 03:06:11,2026-07-14 15:06:11,\N,2026-02-09 15:06:10.586021,2026-02-09 15:06:10.586021
80,1542,1,1,5,0,1,1,Payroll: Generate pdfs,hours,t,2026-07-14 16:43:39.722235,2026-07-14 15:43:52,\N,2026-02-09 14:43:34.575184,2026-02-09 14:43:34.575184
3,132,1,1,6,0,1,1,Mail: Email Queue Manager,hours,t,2026-07-14 16:45:23,2026-07-14 15:45:27,\N,2026-02-02 12:45:16.389543,2026-02-02 12:45:16.389543
