id,company_id,product_id,stock_valuation_layer_id,stock_move_id,account_move_id,account_move_line_id,create_uid,write_uid,description,quantity,unit_cost,value,remaining_qty,remaining_value,create_date,write_date,price_diff_value,stock_landed_cost_id
51306,1,8904,\N,82510,152231,\N,39,39,SP/01446 - กระสอบพีพีขาว 100% เคลือบกราเวียร์ 1 หน้า (FARMER KING),-1.000000,9.20,-9.20,0.000000,\N,2025-06-09 04:34:18.147852,2025-06-09 04:34:18.147852,\N,\N
51308,1,8904,\N,82512,152233,\N,39,39,SP/01448 - กระสอบพีพีขาว 100% เคลือบกราเวียร์ 1 หน้า (FARMER KING),-1.000000,9.20,-9.20,0.000000,\N,2025-06-09 04:34:35.142748,2025-06-09 04:34:35.142748,\N,\N
51253,1,13678,\N,82432,152176,\N,39,25,WH/MO/07040/SWR - ชุดสำเร็จ - (GOLDEN ELEPHANT THREE LOTUS) (NEW CROP),964.000000,12.88,12416.32,0.000000,0.00,2025-06-09 03:32:55.563173,2025-06-13 08:58:08.209679,\N,\N
51261,1,13698,\N,82448,152184,\N,39,25,WH/MO/07042/SWR - ชุดสำเร็จ - (VIENTIANE LADY) (NEW CROP),420.000000,12.23,5136.60,0.000000,0.00,2025-06-09 03:34:33.716734,2025-06-13 09:00:02.426821,\N,\N
54426,1,14019,\N,87107,\N,\N,220,220,WH/MO/07422/SWR - ชั่วโมงการผลิต-Semi FG,-2.481000,0.00,0.00,-2.481000,\N,2025-07-27 06:57:29.530176,2025-07-27 06:57:29.530176,\N,\N
54425,1,931,\N,87106,160754,\N,220,220,WH/MO/07422/SWR - วัตถุดิบ-ข้าว SWR001,-40000.000000,16.00,-640000.00,0.000000,\N,2025-07-27 06:57:29.530176,2025-07-27 06:57:29.530176,\N,\N
54437,1,14019,\N,87142,\N,\N,220,220,WH/MO/07426/SWR - ชั่วโมงการผลิต-Semi FG,-29.485000,0.00,0.00,-29.485000,\N,2025-07-27 07:31:39.24269,2025-07-27 07:31:39.24269,\N,\N
54436,1,933,\N,87141,160761,\N,220,220,WH/MO/07426/SWR - วัตถุดิบ-ข้าวกข.79,-196990.000000,16.29,-3208690.60,0.000000,\N,2025-07-27 07:31:39.24269,2025-07-27 07:31:39.24269,\N,\N
54439,1,1328,\N,87147,160763,\N,220,220,WH/MO/07426/SWR - By Product-ซาห่อข้าวกข.79,661.000000,4.85,3208.69,661.000000,3208.69,2025-07-27 07:31:39.24269,2025-07-27 07:31:39.24269,\N,\N
54460,1,14019,\N,87182,\N,\N,220,220,WH/MO/07429/SWR - ชั่วโมงการผลิต-Semi FG,-12.056000,0.00,0.00,-12.056000,\N,2025-07-27 08:14:10.308266,2025-07-27 08:14:10.308266,\N,\N
54459,1,14093,\N,87184,160779,\N,220,220,WH/MO/07429/SWR - วัตถุดิบ-ปลายข้าวหอมมะลิอีสาน68,-175220.000000,13.08,-2292356.70,0.000000,\N,2025-07-27 08:14:10.308266,2025-07-27 08:14:10.308266,\N,\N
54462,1,14094,\N,87188,160781,\N,220,220,WH/MO/07429/SWR - By Product-ท้องไข่ปลายข้าวหอมมะลิอีสาน68,4431.000000,3.57,15817.26,4431.000000,15817.26,2025-07-27 08:14:10.308266,2025-07-27 08:14:10.308266,\N,\N
54461,1,14092,\N,87186,160780,\N,220,25,WH/MO/07429/SWR - คัดแล้ว-ปลายข้าวหอมมะลิอีสาน68,170789.000000,13.33,2276539.44,0.000000,0.00,2025-07-27 08:14:10.308266,2025-07-30 02:03:29.10696,\N,\N
54438,1,992,\N,87143,160762,\N,220,25,WH/MO/07426/SWR - คัดแล้ว-ข้าวกข.79,195581.000000,16.37,3202273.22,0.000000,0.00,2025-07-27 07:31:39.24269,2025-07-30 04:07:19.981874,\N,\N
54413,1,11630,\N,87060,160744,\N,220,25,WH/MO/07417/SWR - คัดแล้ว-ข้าวหอมมะลิอีสาน67,4000.000000,37.17,148680.00,0.000000,0.00,2025-07-27 05:58:45.45203,2025-07-30 04:30:14.678249,\N,\N
54440,1,1270,\N,87148,160764,\N,220,25,WH/MO/07426/SWR - By Product-ปลายข้าวกข.79,748.000000,4.29,3208.69,0.000000,0.00,2025-07-27 07:31:39.24269,2025-07-31 09:41:57.536664,\N,\N
55762,1,1587,\N,89383,163346,\N,39,39,SP/01729 - กระสอบพีพีใส 100% เคลือบกราเวียร์ 2 หน้า (LELE รุ่นธรรมดา),-4500.000000,9.15,-41175.00,0.000000,\N,2025-08-14 01:55:29.24432,2025-08-14 01:55:29.24432,\N,\N
55787,1,1589,\N,89426,163373,\N,39,39,WH/MO/07595/SWR - กระสอบพีพีใส 100% เคลือบกราเวียร์ 2 หน้า (LELE รุ่นธรรมดา),-6240.000000,10.70,-66768.00,0.000000,\N,2025-08-14 02:20:13.570825,2025-08-14 02:20:13.570825,\N,\N
55788,1,8969,\N,89427,163374,\N,39,39,WH/MO/07595/SWR - ถุงใน (HDPE),-6240.000000,1.08,-6739.20,0.000000,\N,2025-08-14 02:20:13.570825,2025-08-14 02:20:13.570825,\N,\N
54427,1,962,\N,87108,160755,\N,220,25,WH/MO/07422/SWR - คัดแล้ว-ข้าว SWR001,38208.000000,16.28,621888.00,0.000000,0.00,2025-07-27 06:57:29.530176,2025-08-15 02:20:00.866613,\N,\N
54404,1,13977,\N,86963,160736,\N,212,25,WH/IN/07387 - วัตถุดิบ-ข้าวหอมมะลิอีสาน68,30974.000000,33.33,1032363.42,0.000000,0.00,2025-07-26 12:10:57.723301,2025-08-15 07:35:33.849683,\N,\N
54405,1,13977,\N,87047,160737,\N,212,25,WH/IN/07406 - วัตถุดิบ-ข้าวหอมมะลิอีสาน68,60050.000000,31.67,1901783.50,0.000000,0.00,2025-07-26 12:37:25.839575,2025-08-15 07:42:52.406844,\N,\N
54406,1,13977,\N,87051,160738,\N,212,25,WH/IN/07409 - วัตถุดิบ-ข้าวหอมมะลิอีสาน68,30984.000000,33.33,1032696.72,0.000000,0.00,2025-07-26 12:38:52.010528,2025-08-15 07:42:52.406844,\N,\N
54410,1,944,\N,87049,160742,\N,212,25,WH/IN/07407 - วัตถุดิบ-ข้าวปทุม,45179.000000,17.00,768043.00,0.000000,0.00,2025-07-26 13:44:35.730179,2025-08-21 03:34:38.717945,\N,\N
54429,1,1094,\N,87112,160757,\N,220,220,WH/MO/07422/SWR - By Product-ปลายข้าวSWR001,861.000000,14.72,12672.00,0.000000,0.00,2025-07-27 06:57:29.530176,2025-11-01 04:12:51.318064,\N,\N
53441,1,13977,\N,85656,157994,\N,40,220,WH/IN/07227 - วัตถุดิบ-ข้าวหอมมะลิอีสาน68,30635.000000,32.50,995637.50,0.000000,0.00,2025-07-15 08:47:55.733668,2025-07-27 06:46:13.970552,\N,\N
53442,1,13977,\N,85657,157995,\N,40,220,WH/IN/07228 - วัตถุดิบ-ข้าวหอมมะลิอีสาน68,28266.000000,32.50,918645.00,0.000000,0.00,2025-07-15 08:48:41.274297,2025-07-27 06:46:13.970552,\N,\N
53444,1,13977,\N,72507,158000,\N,212,220,WH/IN/05692 - วัตถุดิบ-ข้าวหอมมะลิอีสาน68,30525.000000,28.83,880035.75,0.000000,0.00,2025-07-15 12:51:58.901073,2025-07-27 06:46:13.970552,\N,\N
51254,1,9058,\N,82437,152177,\N,39,39,WH/MO/07041/SWR - กระสอบพีพีใส 100% เคลือบกราเวียร์ 2 หน้า (GOLDEN ELEPHANT THREE LOTUS),-1928.000000,9.90,-19087.20,0.000000,\N,2025-06-09 03:33:45.482289,2025-06-09 03:33:45.482289,\N,\N
51255,1,8968,\N,82438,152178,\N,39,39,WH/MO/07041/SWR - ถุงใน (HDPE),-1928.000000,0.72,-1388.16,0.000000,\N,2025-06-09 03:33:45.482289,2025-06-09 03:33:45.482289,\N,\N
51256,1,13873,\N,82439,152179,\N,39,39,WH/MO/07041/SWR - RIBBON (NEW CROP),-1928.000000,0.90,-1735.20,0.000000,\N,2025-06-09 03:33:45.482289,2025-06-09 03:33:45.482289,\N,\N
53445,1,13977,\N,81978,158001,\N,212,220,WH/IN/06775 - วัตถุดิบ-ข้าวหอมมะลิอีสาน68,29924.000000,33.33,997366.92,0.000000,0.00,2025-07-15 12:53:18.293347,2025-07-27 06:46:13.970552,\N,\N
53447,1,13977,\N,85508,158003,\N,212,220,WH/IN/07198 - วัตถุดิบ-ข้าวหอมมะลิอีสาน68,31234.000000,33.33,1041029.22,0.000000,0.00,2025-07-15 13:38:31.249462,2025-07-27 06:46:13.970552,\N,\N
53466,1,13977,\N,85663,158091,\N,212,220,WH/IN/07233 - วัตถุดิบ-ข้าวหอมมะลิอีสาน68,31341.000000,33.33,1044595.53,0.000000,0.00,2025-07-16 10:47:31.095172,2025-07-27 06:46:13.970552,\N,\N
53467,1,13977,\N,85647,158095,\N,212,220,WH/IN/07219 - วัตถุดิบ-ข้าวหอมมะลิอีสาน68,30195.000000,32.50,981337.50,0.000000,0.00,2025-07-16 10:49:13.848252,2025-07-27 06:46:13.970552,\N,\N
51266,1,8984,\N,82457,152189,\N,39,39,WH/MO/07044/SWR - กระสอบพีพีใส 100% เคลือบกราเวียร์ 2 หน้า (LELE รุ่นธรรมดา),-2080.000000,18.20,-37856.00,0.000000,\N,2025-06-09 03:38:28.134029,2025-06-09 03:38:28.134029,\N,\N
51267,1,8970,\N,82458,152190,\N,39,39,WH/MO/07044/SWR - ถุงใน (HDPE),-2080.000000,1.62,-3369.60,0.000000,\N,2025-06-09 03:38:28.134029,2025-06-09 03:38:28.134029,\N,\N
53468,1,13977,\N,85696,158098,\N,212,220,WH/IN/07241 - วัตถุดิบ-ข้าวหอมมะลิอีสาน68,30685.000000,31.67,971793.95,0.000000,0.00,2025-07-16 11:41:58.02691,2025-07-27 06:46:13.970552,\N,\N
54415,1,14019,\N,87084,\N,\N,220,220,WH/MO/07420/SWR - ชั่วโมงการผลิต-Semi FG,-65.410000,0.00,0.00,-7.319000,\N,2025-07-27 06:46:13.970552,2025-11-13 12:34:40.901708,\N,\N
51272,1,13862,\N,82469,152195,\N,39,39,WH/MO/07046/SWR - กระสอบพีพีใส 100% (KOH KOH),-600.000000,6.70,-4020.00,0.000000,\N,2025-06-09 03:39:40.404169,2025-06-09 03:39:40.404169,\N,\N
51273,1,8969,\N,82470,152196,\N,39,39,WH/MO/07046/SWR - ถุงใน (HDPE),-600.000000,1.08,-648.00,0.000000,\N,2025-06-09 03:39:40.404169,2025-06-09 03:39:40.404169,\N,\N
43299,1,14107,\N,67008,134077,\N,212,220,WH/IN/05389 - วัตถุดิบ-ข้าวหอมมะลิจังหวัด 68,28396.000000,27.50,780890.00,0.000000,0.00,2025-02-17 10:46:48.033671,2025-07-27 06:46:13.970552,\N,\N
54414,1,13977,\N,87083,160745,\N,220,220,WH/MO/07420/SWR - วัตถุดิบ-ข้าวหอมมะลิอีสาน68,-1011296.000000,32.44,-32808932.19,0.000000,\N,2025-07-27 06:46:13.970552,2025-07-27 06:46:13.970552,\N,\N
54416,1,14107,\N,87085,160746,\N,220,220,WH/MO/07420/SWR - วัตถุดิบ-ข้าวหอมมะลิจังหวัด 68,-113714.000000,27.50,-3127135.00,0.000000,\N,2025-07-27 06:46:13.970552,2025-07-27 06:46:13.970552,\N,\N
51275,1,8984,\N,82475,152198,\N,39,39,WH/MO/07047/SWR - กระสอบพีพีใส 100% เคลือบกราเวียร์ 2 หน้า (LELE รุ่นธรรมดา),-4160.000000,18.20,-75712.00,0.000000,\N,2025-06-09 03:40:23.105785,2025-06-09 03:40:23.105785,\N,\N
51276,1,8970,\N,82476,152199,\N,39,39,WH/MO/07047/SWR - ถุงใน (HDPE),-4160.000000,1.62,-6739.20,0.000000,\N,2025-06-09 03:40:23.105785,2025-06-09 03:40:23.105785,\N,\N
51307,1,8904,\N,82511,152232,\N,39,39,SP/01447 - กระสอบพีพีขาว 100% เคลือบกราเวียร์ 1 หน้า (FARMER KING),-1.000000,9.20,-9.20,0.000000,\N,2025-06-09 04:34:26.655567,2025-06-09 04:34:26.655567,\N,\N
51309,1,8904,\N,82513,152234,\N,39,39,SP/01449 - กระสอบพีพีขาว 100% เคลือบกราเวียร์ 1 หน้า (FARMER KING),-1.000000,9.20,-9.20,0.000000,\N,2025-06-09 04:34:44.735032,2025-06-09 04:34:44.735032,\N,\N
51274,1,13935,\N,82471,152197,\N,39,25,WH/MO/07046/SWR - ชุดสำเร็จ - (KOH KOH),600.000000,7.78,4668.00,0.000000,0.00,2025-06-09 03:39:40.404169,2025-06-18 01:55:29.606585,\N,\N
51257,1,13685,\N,82440,152180,\N,39,25,WH/MO/07041/SWR - ชุดสำเร็จ - (GOLDEN ELEPHANT THREE LOTUS) (NEW CROP),1928.000000,11.52,22210.56,0.000000,0.00,2025-06-09 03:33:45.482289,2025-06-20 02:10:30.981304,\N,\N
51268,1,12596,\N,82459,152191,\N,39,25,WH/MO/07044/SWR - ชุดสำเร็จ - (LELE),2080.000000,19.82,41225.60,0.000000,0.00,2025-06-09 03:38:28.134029,2025-06-30 07:15:44.261238,\N,\N
51277,1,12596,\N,82477,152200,\N,39,25,WH/MO/07047/SWR - ชุดสำเร็จ - (LELE),4160.000000,19.82,82451.20,0.000000,0.00,2025-06-09 03:40:23.105785,2025-06-30 07:16:03.902689,\N,\N
54418,1,14058,\N,87089,160748,\N,220,220,WH/MO/07420/SWR - By Product-ท้องไข่ข้าวหอมมะลิอีสาน68,7275.000000,11.36,82652.95,7275.000000,82652.95,2025-07-27 06:46:13.970552,2025-07-27 06:46:13.970552,\N,\N
54422,1,14019,\N,87098,\N,\N,220,220,WH/MO/07421/SWR - ชั่วโมงการผลิต-Semi FG,-4.296000,0.00,0.00,-4.296000,\N,2025-07-27 06:50:31.968349,2025-07-27 06:50:31.968349,\N,\N
54421,1,944,\N,87097,160751,\N,220,220,WH/MO/07421/SWR - วัตถุดิบ-ข้าวปทุม,-53820.000000,18.48,-994671.00,0.000000,\N,2025-07-27 06:50:31.968349,2025-07-27 06:50:31.968349,\N,\N
54442,1,14019,\N,87156,\N,\N,220,220,WH/MO/07427/SWR - ชั่วโมงการผลิต-Semi FG,-32.964000,0.00,0.00,-32.964000,\N,2025-07-27 07:38:47.398033,2025-07-27 07:38:47.398033,\N,\N
54441,1,939,\N,87155,160765,\N,220,220,WH/MO/07427/SWR - วัตถุดิบ-ข้าวขาว5%,-457495.000000,12.30,-5628153.51,0.000000,\N,2025-07-27 07:38:47.398033,2025-07-27 07:38:47.398033,\N,\N
54424,1,1281,\N,87102,160753,\N,220,220,WH/MO/07421/SWR - By Product-ปลายข้าวปทุม,773.000000,6.43,4973.36,0.000000,0.00,2025-07-27 06:50:31.968349,2025-07-27 08:31:58.688409,\N,\N
54423,1,1003,\N,87099,160752,\N,220,25,WH/MO/07421/SWR - คัดแล้ว-ข้าวปทุม,53047.000000,18.66,989697.65,0.000000,0.00,2025-07-27 06:50:31.968349,2025-07-30 04:07:19.981874,\N,\N
44150,1,14107,\N,70823,136517,\N,25,25,Product Quantity Updated - วัตถุดิบ-ข้าวหอมมะลิจังหวัด 68,10.000000,27.50,275.00,0.000000,0.00,2025-02-28 02:34:17.387379,2025-07-31 08:24:51.802138,\N,\N
