evidence,module,path,records,views_hint,actions_hint,menus,security_hint
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/data/sdd_payment_method.xml,1,0,0,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/data/sdd_mandate_state_cron.xml,1,0,0,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/data/account_data.xml,1,0,0,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/views/sdd_mandate_views.xml,5,8,1,1,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/views/account_batch_payment_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/views/account_move_view.xml,2,4,0,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/views/account_journal_dashboard_view.xml,2,2,1,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/views/res_config_settings_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/views/account_journal_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/views/res_partner_view.xml,1,2,0,0,0
01 ACCOUNT.zip,account_sepa_direct_debit,01 ACCOUNT/account_sepa_direct_debit/views/account_payment_view.xml,5,10,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/security/account_reports_security.xml,3,0,0,0,11
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/wizard/return_submission_wizard.xml,1,2,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/wizard/multicurrency_revaluation.xml,1,2,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/wizard/report_export_wizard.xml,1,2,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/wizard/return_generic_payment_wizard.xml,1,2,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/wizard/return_creation_wizard.xml,1,2,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/wizard/account_report_file_download_error_wizard.xml,1,2,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/wizard/account_report_send.xml,1,2,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/wizard/fiscal_year.xml,1,2,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/partner_ledger.xml,10,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/generic_tax_report.xml,3,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/customer_statement.xml,6,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/ir_cron.xml,1,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/multicurrency_revaluation_report.xml,17,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/executive_summary.xml,58,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/bank_reconciliation_report.xml,69,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/account_return_data.xml,2,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/menuitems.xml,0,0,0,25,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/deferred_reports.xml,4,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/journal_report.xml,14,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/mail_templates.xml,3,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/annual_statements.xml,2,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/cash_flow_report.xml,2,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/profit_and_loss.xml,22,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/account_return_check_template.xml,48,2,2,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/aged_partner_balance.xml,50,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/followup_report.xml,6,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/account_report_actions.xml,25,0,4,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/sales_report.xml,4,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/report_send_cron.xml,1,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/trial_balance.xml,7,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/balance_sheet.xml,31,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/data/general_ledger.xml,15,0,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/account_audit_views.xml,10,8,4,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/res_company_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/account_move_views.xml,8,16,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/account_return_check_views.xml,2,4,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/res_partner_views.xml,2,2,1,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/account_return_views.xml,6,6,3,1,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/account_account_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/account_journal_dashboard_view.xml,1,2,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/account_tax_views.xml,3,4,1,1,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/res_config_settings_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/account_return_type_views.xml,4,6,1,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/account_report_view.xml,13,24,1,0,0
01 ACCOUNT.zip,account_reports,01 ACCOUNT/account_reports/views/account_return_check_template_views.xml,4,6,1,0,0
01 ACCOUNT.zip,account_bank_statement_import,01 ACCOUNT/account_bank_statement_import/demo/partner_bank.xml,4,0,0,0,0
01 ACCOUNT.zip,account_bank_statement_import,01 ACCOUNT/account_bank_statement_import/views/account_bank_statement_import_view.xml,2,4,0,0,0
01 ACCOUNT.zip,account_add_gln,01 ACCOUNT/account_add_gln/views/res_partner_views.xml,1,2,0,0,0
01 ACCOUNT.zip,accountant_hr_expense,01 ACCOUNT/accountant_hr_expense/views/account_return_check_template.xml,1,0,0,0,0
01 ACCOUNT.zip,account_inter_company_rules,01 ACCOUNT/account_inter_company_rules/views/res_company_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_inter_company_rules,01 ACCOUNT/account_inter_company_rules/views/res_config_settings_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_saft_import,01 ACCOUNT/account_saft_import/wizard/import_wizard_view.xml,3,2,2,0,0
01 ACCOUNT.zip,accountant,01 ACCOUNT/accountant/demo/account_accountant_demo.xml,1,0,0,0,0
01 ACCOUNT.zip,accountant,01 ACCOUNT/accountant/security/accounting_security.xml,5,0,0,0,0
01 ACCOUNT.zip,accountant,01 ACCOUNT/accountant/data/account_accountant_data.xml,7,0,0,2,0
01 ACCOUNT.zip,accountant,01 ACCOUNT/accountant/views/res_config_settings.xml,1,2,0,0,0
01 ACCOUNT.zip,accountant,01 ACCOUNT/accountant/views/partner_views.xml,1,2,0,0,0
01 ACCOUNT.zip,accountant,01 ACCOUNT/accountant/views/accountant_menuitem.xml,0,0,0,1,0
01 ACCOUNT.zip,account_reports_cash_basis,01 ACCOUNT/account_reports_cash_basis/data/account_reports_data.xml,5,0,0,0,0
01 ACCOUNT.zip,account_reports_cash_basis,01 ACCOUNT/account_reports_cash_basis/views/account_report_view.xml,1,2,0,0,0
01 ACCOUNT.zip,account_tax_python,01 ACCOUNT/account_tax_python/views/account_tax_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_fiscal_categories,01 ACCOUNT/account_fiscal_categories/security/account_fiscal_categories_security.xml,1,0,0,0,1
01 ACCOUNT.zip,account_fiscal_categories,01 ACCOUNT/account_fiscal_categories/data/account_return_check_template.xml,1,0,0,0,0
01 ACCOUNT.zip,account_fiscal_categories,01 ACCOUNT/account_fiscal_categories/data/account_fiscal_report.xml,4,0,0,0,0
01 ACCOUNT.zip,account_fiscal_categories,01 ACCOUNT/account_fiscal_categories/views/account_fiscal_report_views.xml,1,0,0,1,0
01 ACCOUNT.zip,account_fiscal_categories,01 ACCOUNT/account_fiscal_categories/views/account_account_views.xml,3,6,0,0,0
01 ACCOUNT.zip,account_fiscal_categories,01 ACCOUNT/account_fiscal_categories/views/account_fiscal_category_views.xml,4,6,1,1,0
01 ACCOUNT.zip,accountant_knowledge,01 ACCOUNT/accountant_knowledge/data/ir_attachment_data.xml,2,0,0,0,0
01 ACCOUNT.zip,accountant_knowledge,01 ACCOUNT/accountant_knowledge/data/knowledge_article_template_category_data.xml,1,0,0,0,0
01 ACCOUNT.zip,accountant_knowledge,01 ACCOUNT/accountant_knowledge/data/knowledge_article_template_data.xml,32,0,0,0,0
01 ACCOUNT.zip,accountant_knowledge,01 ACCOUNT/accountant_knowledge/views/menuitems.xml,0,0,0,1,0
01 ACCOUNT.zip,accountant_knowledge,01 ACCOUNT/accountant_knowledge/views/knowledge_article_views.xml,1,2,0,0,0
01 ACCOUNT.zip,accountant_knowledge,01 ACCOUNT/accountant_knowledge/views/audit_report_views.xml,5,6,2,0,0
01 ACCOUNT.zip,account_avatax_sale,01 ACCOUNT/account_avatax_sale/views/sale_order_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_transfer,01 ACCOUNT/account_transfer/security/account_transfer_security.xml,1,0,0,0,1
01 ACCOUNT.zip,account_transfer,01 ACCOUNT/account_transfer/data/cron.xml,1,0,0,0,0
01 ACCOUNT.zip,account_transfer,01 ACCOUNT/account_transfer/views/transfer_model_views.xml,6,8,2,1,0
01 ACCOUNT.zip,account_budget_purchase,01 ACCOUNT/account_budget_purchase/views/budget_analytic_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_budget_purchase,01 ACCOUNT/account_budget_purchase/views/purchase_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_budget_purchase,01 ACCOUNT/account_budget_purchase/views/budget_line_view.xml,1,2,0,0,0
01 ACCOUNT.zip,account_budget_purchase,01 ACCOUNT/account_budget_purchase/views/account_analytic_account_views.xml,1,2,0,0,0
01 ACCOUNT.zip,account_budget_purchase,01 ACCOUNT/account_budget_purchase/reports/budget_report_view.xml,4,8,0,0,0
01 ACCOUNT.zip,account_fiscal_categories_fleet,01 ACCOUNT/account_fiscal_categories_fleet/data/account_fiscal_report.xml,1,0,0,0,0
01 ACCOUNT.zip,account_fiscal_categories_fleet,01 ACCOUNT/account_fiscal_categories_fleet/views/account_fiscal_category_views.xml,2,4,0,0,0
