table,columns,reference_table,constraint,definition
account_analytic_account_mrp_workcenter_rel,account_analytic_account_id,account_analytic_account,account_analytic_account_mrp_w_account_analytic_account_id_fkey,FOREIGN KEY (account_analytic_account_id) REFERENCES public.account_analytic_account(id) ON DELETE CASCADE
account_analytic_account_mrp_workcenter_rel,mrp_workcenter_id,mrp_workcenter,account_analytic_account_mrp_workcenter__mrp_workcenter_id_fkey,FOREIGN KEY (mrp_workcenter_id) REFERENCES public.mrp_workcenter(id) ON DELETE CASCADE
account_analytic_applicability,analytic_plan_id,account_analytic_plan,account_analytic_applicability_analytic_plan_id_fkey,FOREIGN KEY (analytic_plan_id) REFERENCES public.account_analytic_plan(id) ON DELETE SET NULL
account_analytic_applicability,product_categ_id,product_category,account_analytic_applicability_product_categ_id_fkey,FOREIGN KEY (product_categ_id) REFERENCES public.product_category(id) ON DELETE SET NULL
account_analytic_applicability,company_id,res_company,account_analytic_applicability_company_id_fkey,FOREIGN KEY (company_id) REFERENCES public.res_company(id) ON DELETE SET NULL
account_analytic_applicability,create_uid,res_users,account_analytic_applicability_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_analytic_applicability,write_uid,res_users,account_analytic_applicability_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_analytic_distribution_model,product_categ_id,product_category,account_analytic_distribution_model_product_categ_id_fkey,FOREIGN KEY (product_categ_id) REFERENCES public.product_category(id) ON DELETE CASCADE
account_analytic_distribution_model,product_id,product_product,account_analytic_distribution_model_product_id_fkey,FOREIGN KEY (product_id) REFERENCES public.product_product(id) ON DELETE CASCADE
account_analytic_distribution_model,company_id,res_company,account_analytic_distribution_model_company_id_fkey,FOREIGN KEY (company_id) REFERENCES public.res_company(id) ON DELETE CASCADE
account_analytic_distribution_model,partner_id,res_partner,account_analytic_distribution_model_partner_id_fkey,FOREIGN KEY (partner_id) REFERENCES public.res_partner(id) ON DELETE CASCADE
account_analytic_distribution_model,partner_category_id,res_partner_category,account_analytic_distribution_model_partner_category_id_fkey,FOREIGN KEY (partner_category_id) REFERENCES public.res_partner_category(id) ON DELETE CASCADE
account_analytic_distribution_model,create_uid,res_users,account_analytic_distribution_model_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_analytic_distribution_model,write_uid,res_users,account_analytic_distribution_model_write_uid_fkey,FOREIGN KEY (write_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
account_analytic_line,general_account_id,account_account,account_analytic_line_general_account_id_fkey,FOREIGN KEY (general_account_id) REFERENCES public.account_account(id) ON DELETE RESTRICT
account_analytic_line,account_id,account_analytic_account,account_analytic_line_account_id_fkey,FOREIGN KEY (account_id) REFERENCES public.account_analytic_account(id) ON DELETE RESTRICT
account_analytic_line,journal_id,account_journal,account_analytic_line_journal_id_fkey,FOREIGN KEY (journal_id) REFERENCES public.account_journal(id) ON DELETE SET NULL
account_analytic_line,timesheet_invoice_id,account_move,account_analytic_line_timesheet_invoice_id_fkey,FOREIGN KEY (timesheet_invoice_id) REFERENCES public.account_move(id) ON DELETE SET NULL
account_analytic_line,move_line_id,account_move_line,account_analytic_line_move_line_id_fkey,FOREIGN KEY (move_line_id) REFERENCES public.account_move_line(id) ON DELETE CASCADE
account_analytic_line,department_id,hr_department,account_analytic_line_department_id_fkey,FOREIGN KEY (department_id) REFERENCES public.hr_department(id) ON DELETE SET NULL
account_analytic_line,employee_id,hr_employee,account_analytic_line_employee_id_fkey,FOREIGN KEY (employee_id) REFERENCES public.hr_employee(id) ON DELETE SET NULL
account_analytic_line,manager_id,hr_employee,account_analytic_line_manager_id_fkey,FOREIGN KEY (manager_id) REFERENCES public.hr_employee(id) ON DELETE SET NULL
account_analytic_line,holiday_id,hr_leave,account_analytic_line_holiday_id_fkey,FOREIGN KEY (holiday_id) REFERENCES public.hr_leave(id) ON DELETE SET NULL
account_analytic_line,product_id,product_product,account_analytic_line_product_id_fkey,FOREIGN KEY (product_id) REFERENCES public.product_product(id) ON DELETE SET NULL
account_analytic_line,project_id,project_project,account_analytic_line_project_id_fkey,FOREIGN KEY (project_id) REFERENCES public.project_project(id) ON DELETE SET NULL
account_analytic_line,parent_task_id,project_task,account_analytic_line_parent_task_id_fkey,FOREIGN KEY (parent_task_id) REFERENCES public.project_task(id) ON DELETE SET NULL
account_analytic_line,task_id,project_task,account_analytic_line_task_id_fkey,FOREIGN KEY (task_id) REFERENCES public.project_task(id) ON DELETE SET NULL
account_analytic_line,company_id,res_company,account_analytic_line_company_id_fkey,FOREIGN KEY (company_id) REFERENCES public.res_company(id) ON DELETE RESTRICT
account_analytic_line,currency_id,res_currency,account_analytic_line_currency_id_fkey,FOREIGN KEY (currency_id) REFERENCES public.res_currency(id) ON DELETE SET NULL
account_analytic_line,partner_id,res_partner,account_analytic_line_partner_id_fkey,FOREIGN KEY (partner_id) REFERENCES public.res_partner(id) ON DELETE SET NULL
account_analytic_line,create_uid,res_users,account_analytic_line_create_uid_fkey,FOREIGN KEY (create_uid) REFERENCES public.res_users(id) ON DELETE SET NULL
