area,technical_name,manifest_file,name,version,license,category,author,website,installable,application,auto_install,depends_count,depends,summary,parse_error
02_OTHER,mass_mailing_crm_sms,__manifest__.py,Mass mailing sms on lead / opportunities,1.0,LGPL-3,Marketing/Email Marketing,Odoo S.A.,,True,False,True,2,mass_mailing_crm;mass_mailing_sms,Add lead / opportunities info on mass mailing sms,
02_OTHER,mass_mailing_event,__manifest__.py,Mass mailing on attendees,1.0,LGPL-3,Marketing/Email Marketing,Odoo S.A.,,True,False,True,2,event;mass_mailing,,
02_OTHER,mass_mailing_event_sms,__manifest__.py,Event Attendees SMS Marketing,1.0,LGPL-3,Marketing/Email Marketing,Odoo S.A.,,True,False,True,5,event;mass_mailing;mass_mailing_event;mass_mailing_sms;sms,,
02_OTHER,mass_mailing_event_track,__manifest__.py,Mass mailing on track speakers,1.0,LGPL-3,Marketing/Email Marketing,Odoo S.A.,,True,False,True,2,website_event_track;mass_mailing,,
02_OTHER,mass_mailing_event_track_sms,__manifest__.py,Track Speakers SMS Marketing,1.0,LGPL-3,Marketing/Email Marketing,Odoo S.A.,,True,False,True,4,mass_mailing;mass_mailing_sms;sms;website_event_track,,
02_OTHER,mass_mailing_sale,__manifest__.py,Mass mailing on sale orders,1.0,LGPL-3,Marketing/Email Marketing,Odoo S.A.,,True,False,True,2,sale;mass_mailing,Add sale order UTM info on mass mailing,
02_OTHER,mass_mailing_sale_sms,__manifest__.py,Mass mailing sms on sale orders,1.0,LGPL-3,Marketing/Email Marketing,Odoo S.A.,,True,False,True,2,mass_mailing_sale;mass_mailing_sms,Add sale order info on mass mailing sms,
02_OTHER,mass_mailing_sale_subscription,__manifest__.py,Mass mailing on sale subscriptions,1.0,OEEL-1,Marketing/Email Marketing,Odoo S.A.,,True,False,True,2,mass_mailing_sale;sale_subscription,Add sale subscription support in mass mailing,
02_OTHER,mass_mailing_slides,__manifest__.py,Mass mailing on course members,1.0,LGPL-3,Marketing/Email Marketing,Odoo S.A.,,True,False,True,2,website_slides;mass_mailing,,
02_OTHER,mass_mailing_sms,__manifest__.py,SMS Marketing,1.1,LGPL-3,Marketing/Email Marketing,Odoo S.A.,https://www.odoo.com/app/sms-marketing,True,True,False,3,portal;mass_mailing;sms,"Design, send and track SMS",
02_OTHER,mass_mailing_themes,__manifest__.py,Mass Mailing Themes,1.2,LGPL-3,Marketing/Email Marketing,Odoo S.A.,https://www.odoo.com/app/mailing,True,False,True,1,mass_mailing,Design gorgeous mails,
02_OTHER,microsoft_account,__manifest__.py,Microsoft Users,,LGPL-3,Hidden/Tools,Odoo S.A.,,True,False,False,1,base_setup,,
02_OTHER,microsoft_calendar,__manifest__.py,Outlook Calendar,1.0,LGPL-3,Productivity,Odoo S.A.,,True,False,False,2,microsoft_account;calendar,,
02_OTHER,microsoft_outlook,__manifest__.py,Microsoft Outlook,1.1,LGPL-3,Hidden,Odoo S.A.,,True,False,True,1,mail,,
02_OTHER,mrp,__manifest__.py,Manufacturing,2.0,LGPL-3,Supply Chain/Manufacturing,Odoo S.A.,https://www.odoo.com/app/manufacturing,True,True,False,3,product;stock;resource,Manufacturing Orders & BOMs,
02_OTHER,mrp_account,__manifest__.py,Accounting - MRP,1.0,LGPL-3,Supply Chain/Manufacturing,Odoo S.A.,https://www.odoo.com/app/manufacturing,True,False,True,2,mrp;stock_account,Analytic accounting in Manufacturing,
02_OTHER,mrp_account_enterprise,__manifest__.py,Accounting - MRP,1.0,OEEL-1,Supply Chain/Manufacturing,Odoo S.A.,https://www.odoo.com/app/manufacturing,True,False,True,1,mrp_account,Analytic accounting in Manufacturing,
02_OTHER,mrp_accountant,__manifest__.py,Mrp Accounting,1.0,OEEL-1,Supply Chain/Inventory,Odoo S.A.,,True,False,True,2,mrp_account;stock_accountant,Bridge between Mrp and Accounting,
02_OTHER,mrp_landed_costs,__manifest__.py,Landed Costs On MO,1.0,LGPL-3,Supply Chain/Manufacturing,Odoo S.A.,,True,False,True,2,stock_landed_costs;mrp,Landed Costs on Manufacturing Order,
02_OTHER,mrp_maintenance,__manifest__.py,Maintenance - MRP,1.0,OEEL-1,Supply Chain/Manufacturing,Odoo S.A.,https://www.odoo.com/app/maintenance,True,False,True,2,mrp_workorder;stock_maintenance,Schedule and manage maintenance on machine and tools.,
02_OTHER,mrp_mps,__manifest__.py,Master Production Schedule,1.0,OEEL-1,Supply Chain/Manufacturing,Odoo S.A.,,True,False,False,3,base_import;mrp;purchase_stock,Master Production Schedule,
02_OTHER,mrp_plm,__manifest__.py,Product Lifecycle Management (PLM),1.0,OEEL-1,Supply Chain/Product Lifecycle Management (PLM),Odoo S.A.,https://www.odoo.com/app/plm,True,True,False,1,mrp,"Manage engineering change orders on products, bills of material",
02_OTHER,mrp_product_expiry,__manifest__.py,Manufacturing Expiry,1.0,LGPL-3,Supply Chain/Manufacturing,Odoo S.A.,,True,False,True,2,mrp;product_expiry,Manufacturing Expiry,
02_OTHER,mrp_repair,__manifest__.py,Mrp Repairs,1.0,LGPL-3,Supply Chain/Inventory,Odoo S.A.,,True,False,True,2,repair;mrp,,
02_OTHER,mrp_subcontracting,__manifest__.py,MRP Subcontracting,0.1,LGPL-3,Supply Chain/Manufacturing,Odoo S.A.,https://www.odoo.com/app/manufacturing,True,False,False,1,mrp,Subcontract Productions,
02_OTHER,mrp_subcontracting_account,__manifest__.py,Subcontracting Management with Stock Valuation,0.1,LGPL-3,Supply Chain/Manufacturing,Odoo S.A.,,True,False,True,2,mrp_subcontracting;mrp_account,,
02_OTHER,mrp_subcontracting_account_enterprise,__manifest__.py,Accounting - MRP Subcontracting,1.0,OEEL-1,Supply Chain/Manufacturing,Odoo S.A.,https://www.odoo.com/app/manufacturing,True,False,True,2,mrp_account_enterprise;mrp_subcontracting,Add Subcontracting information in Cost Analysis Reports and Production Analysis,
02_OTHER,mrp_subcontracting_dropshipping,__manifest__.py,Dropship and Subcontracting Management,0.1,LGPL-3,Supply Chain/Purchase,Odoo S.A.,,True,False,True,2,mrp_subcontracting;stock_dropshipping,,
02_OTHER,mrp_subcontracting_enterprise,__manifest__.py,MRP Subcontracting Enterprise,1.0,OEEL-1,Supply Chain/Manufacturing,Odoo S.A.,,True,False,True,1,mrp_subcontracting,Bridge module for MRP subcontracting and enterprise to avoid some conflicts with studio,
02_OTHER,mrp_subcontracting_landed_costs,__manifest__.py,Landed Costs With Subcontracting order,1.0,LGPL-3,Supply Chain/Manufacturing,Odoo S.A.,,True,False,True,2,stock_landed_costs;mrp_subcontracting,Advanced views to manage landed cost for subcontracting orders,
02_OTHER,mrp_subcontracting_purchase,__manifest__.py,Purchase and Subcontracting Management,0.1,LGPL-3,Supply Chain/Purchase,Odoo S.A.,,True,False,True,2,mrp_subcontracting;purchase_mrp,,
02_OTHER,mrp_subcontracting_quality,__manifest__.py,MRP Subcontracting Quality,1.0,OEEL-1,Supply Chain/Quality,Odoo S.A.,,True,False,True,2,mrp_subcontracting;quality_control,,
02_OTHER,mrp_subcontracting_repair,__manifest__.py,MRP Subcontracting Repair,1.0,LGPL-3,Supply Chain/Repair,Odoo S.A.,,True,False,True,2,mrp_subcontracting;repair,,
02_OTHER,mrp_workorder,__manifest__.py,MRP II,1.0,OEEL-1,Supply Chain/Manufacturing,Odoo S.A.,,True,False,['mrp'],6,quality;mrp;barcodes;web_gantt;web_tour;hr_hourly_cost,"Work Orders, Planning, Stock Reports.",
02_OTHER,mrp_workorder_expiry,__manifest__.py,MRP II - Expiry,1.0,OEEL-1,Supply Chain/Manufacturing,Odoo S.A.,,True,False,True,2,mrp_workorder;product_expiry,MRP Workorder Expiry,
02_OTHER,mrp_workorder_hr_account,__manifest__.py,Employees cost registration on production,,OEEL-1,Supply Chain/Manufacturing,Odoo S.A.,,True,False,True,2,mrp_workorder;mrp_account_enterprise,Analytic cost of employee work in manufacturing,
02_OTHER,mrp_workorder_iot,__manifest__.py,IoT features for Work Order,1.0,OEEL-1,Supply Chain/Manufacturing,Odoo S.A.,,True,False,True,2,mrp_workorder;quality_iot,Steps in MRP work orders with IoT devices,
02_OTHER,mrp_workorder_plm,__manifest__.py,PLM for workorder,1.0,OEEL-1,Supply Chain/Product Lifecycle Management (PLM),Odoo S.A.,,True,False,True,2,mrp_workorder;mrp_plm,PLM for workorder,
02_OTHER,onboarding,__manifest__.py,Onboarding Toolbox,1.2,LGPL-3,Hidden,Odoo S.A.,,True,False,False,1,web,,
02_OTHER,partner_autocomplete,__manifest__.py,Partner Autocomplete,1.1,LGPL-3,Hidden/Tools,Odoo S.A.,,True,False,True,1,iap_mail,Auto-complete partner companies' data,
02_OTHER,partner_commission,__manifest__.py,Resellers Commissions For Subscription,1.0,OEEL-1,Sales/Commissions,Odoo S.A.,,True,False,False,3,purchase;sale_subscription_partnership;website_crm_partner_assign,Configure resellers commissions on subscription sale,
02_OTHER,partnership,__manifest__.py,Partnership / Membership,1.0,LGPL-3,Sales/CRM,Odoo S.A.,,True,False,False,2,crm;sale,,
02_OTHER,payment,__manifest__.py,Payment Engine,2.0,LGPL-3,Hidden,Odoo S.A.,,True,False,False,2,onboarding;portal,The payment engine used by payment provider modules.,
02_OTHER,payment_adyen,__manifest__.py,Payment Provider: Adyen,2.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A Dutch payment provider covering Europe and the US.,
02_OTHER,payment_aps,__manifest__.py,Payment Provider: Amazon Payment Services,1.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,An Amazon payment provider covering the MENA region.,
02_OTHER,payment_asiapay,__manifest__.py,Payment Provider: AsiaPay,1.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,An payment provider based in Hong Kong covering most Asian countries.,
02_OTHER,payment_authorize,__manifest__.py,Payment Provider: Authorize.Net,2.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,"An payment provider covering the US, Australia, and Canada.",
02_OTHER,payment_buckaroo,__manifest__.py,Payment Provider: Buckaroo,2.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A Dutch payment provider covering several countries in Europe.,
02_OTHER,payment_custom,__manifest__.py,Payment Provider: Custom Payment Modes,2.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A payment provider for custom flows like wire transfers.,
02_OTHER,payment_demo,__manifest__.py,Payment Provider: Demo,2.0,LGPL-3,Accounting/Accounting,Odoo S.A.,,True,False,False,1,payment,A payment provider for running fake payment flows for demo purposes.,
02_OTHER,payment_dpo,__manifest__.py,Payment Provider: DPO,,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A Kenyan payment provider covering several African countries.,
02_OTHER,payment_flutterwave,__manifest__.py,Payment Provider: Flutterwave,1.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A Nigerian payment provider covering several African countries.,
02_OTHER,payment_iyzico,__manifest__.py,Payment Provider: Iyzico,,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A payment provider covering Turkey.,
02_OTHER,payment_mercado_pago,__manifest__.py,Payment Provider: Mercado Pago,1.0,LGPL-3,Accounting/Payment Providers,Odoo S.A.,,True,False,False,1,payment,A payment provider covering several countries in Latin America.,
