id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date
565,10,555,1,1,551/552/555/565/,\N,"ir.actions.act_window,926","{""en_US"": ""Pages"", ""th_TH"": ""หน้า""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
566,10,555,1,1,551/552/555/566/,\N,"ir.actions.act_window,927","{""en_US"": ""Model Pages"", ""th_TH"": ""หน้าโมเดล""}",f,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
567,40,561,1,1,551/561/567/,\N,"ir.actions.act_window,930","{""en_US"": ""Visitors"", ""th_TH"": ""ผู้เยี่ยมชม""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
568,50,561,1,1,551/561/568/,\N,"ir.actions.act_window,931","{""en_US"": ""Page Views"", ""th_TH"": ""ยอดเข้าชมเพจ""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
569,100,551,1,1,551/569/,\N,\N,"{""en_US"": ""Configuration"", ""th_TH"": ""การกำหนดค่า""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
570,10,569,1,1,551/569/570/,\N,"ir.actions.act_window,932","{""en_US"": ""Settings"", ""th_TH"": ""การตั้งค่า""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
571,20,569,1,1,551/569/571/,\N,"ir.actions.act_window,914","{""en_US"": ""Apps"", ""th_TH"": ""แอป""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
572,10,569,1,1,551/569/572/,\N,"ir.actions.act_window,916","{""en_US"": ""Websites"", ""th_TH"": ""เว็บไซต์""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
2,50,1,1,1,1/2/,\N,\N,"{""en_US"": ""Custom Shortcuts"", ""th_TH"": ""ทางลัดกำหนดเอง""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
3,1,1,1,1,1/3/,\N,\N,"{""en_US"": ""Users & Companies"", ""th_TH"": ""บริษัท""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
4,2,1,1,1,1/4/,\N,\N,"{""en_US"": ""Translations"", ""th_TH"": ""การแปล""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
5,4,4,1,1,1/4/5/,\N,\N,"{""en_US"": ""Application Terms"", ""th_TH"": ""ศัพท์แอพพลิเคชัน""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
6,3,4,1,1,1/4/6/,\N,\N,"{""en_US"": ""Import / Export"", ""th_TH"": ""นำเข้า / ส่งออก""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
7,3,1,1,1,1/7/,\N,\N,"{""en_US"": ""General Settings"", ""th_TH"": ""การตั้งค่าทั่วไป""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
8,110,1,1,1,1/8/,\N,\N,"{""en_US"": ""Technical"", ""th_TH"": ""ทางเทคนิค""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
573,45,569,1,1,551/569/573/,\N,"ir.actions.act_window,917","{""en_US"": ""Menus"", ""th_TH"": ""เมนู""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
574,30,569,1,1,551/569/574/,\N,"ir.actions.act_window,933","{""en_US"": ""Redirects"", ""th_TH"": ""การเปลี่ยนเส้นทาง""}",t,2026-04-01 04:52:07.614842,2026-04-01 04:52:07.614842
9,10,8,1,1,1/8/9/,\N,\N,"{""en_US"": ""User Interface"", ""th_TH"": ""ส่วนติดต่อผู้ใช้""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
10,3,8,1,1,1/8/10/,\N,\N,"{""en_US"": ""Email"", ""th_TH"": ""อีเมล""}",t,2026-03-18 04:58:50.421471,2026-03-29 06:22:24.936134
11,10,8,1,1,1/8/11/,\N,\N,"{""en_US"": ""Database Structure"", ""th_TH"": ""โครงสร้างฐานข้อมูล""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
12,10,8,1,1,1/8/12/,\N,\N,"{""en_US"": ""Automation"", ""th_TH"": ""การทำงานอัตโนมัติ""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
13,25,8,1,1,1/8/13/,\N,\N,"{""en_US"": ""Security"", ""th_TH"": ""ความปลอดภัย""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
14,24,8,1,1,1/8/14/,\N,\N,"{""en_US"": ""Parameters"", ""th_TH"": ""พารามิเตอร์""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
16,1000,\N,1,1,16/,"base,static/description/exception.png",\N,"{""en_US"": ""Tests"", ""th_TH"": ""ทดสอบ""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
17,10,11,1,1,1/8/11/17/,\N,"ir.actions.act_window,5","{""en_US"": ""Decimal Accuracy"", ""th_TH"": ""ความถูกต้องของทศนิยม""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
18,5,8,1,1,1/8/18/,\N,\N,"{""en_US"": ""Actions"", ""th_TH"": ""การดำเนินการ""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
19,10,18,1,1,1/8/18/19/,\N,"ir.actions.act_window,6","{""en_US"": ""Actions"", ""th_TH"": ""การดำเนินการ""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
20,10,18,1,1,1/8/18/20/,\N,"ir.actions.act_window,7","{""en_US"": ""Reports"", ""th_TH"": ""รายงาน""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
21,10,18,1,1,1/8/18/21/,\N,"ir.actions.act_window,8","{""en_US"": ""Window Actions"", ""th_TH"": ""การกระทำของ Window""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
22,10,18,1,1,1/8/18/22/,\N,"ir.actions.act_window,9","{""en_US"": ""Client Actions"", ""th_TH"": ""การดำเนินการของลูกค้า""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
23,10,18,1,1,1/8/18/23/,\N,"ir.actions.act_window,10","{""en_US"": ""Server Actions"", ""th_TH"": ""การดำเนินการของเซิร์ฟเวอร์""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
24,10,18,1,1,1/8/18/24/,\N,"ir.actions.act_window,11","{""en_US"": ""Embedded Actions"", ""th_TH"": ""การดำเนินการแบบฝัง""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
25,10,18,1,1,1/8/18/25/,\N,"ir.actions.act_window,12","{""en_US"": ""Configuration Wizards"", ""th_TH"": ""ตัวช่วยสร้างการกำหนดค่า""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
26,10,11,1,1,1/8/11/26/,\N,"ir.actions.act_window,14","{""en_US"": ""Assets"", ""th_TH"": ""สินทรัพย์""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
27,10,14,1,1,1/8/14/27/,\N,"ir.actions.act_window,15","{""en_US"": ""System Parameters"", ""th_TH"": ""พารามิเตอร์ของระบบ""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
28,2,12,1,1,1/8/12/28/,\N,"ir.actions.act_window,16","{""en_US"": ""Scheduled Actions"", ""th_TH"": ""การกระทำที่กำหนดไว้""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
29,3,12,1,1,1/8/12/29/,\N,"ir.actions.act_window,17","{""en_US"": ""Scheduled Actions Triggers"", ""th_TH"": ""ทริกเกอร์การดำเนินการตามกำหนดการ""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
30,5,9,1,1,1/8/9/30/,\N,"ir.actions.act_window,18","{""en_US"": ""User-defined Filters"", ""th_TH"": ""ตัวกรองที่ผู้ใช้กำหนด""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
31,5,10,1,1,1/8/10/31/,\N,"ir.actions.act_window,19","{""en_US"": ""Outgoing Mail Servers"", ""th_TH"": ""เซิร์ฟเวอร์จดหมายขาออก""}",t,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471
