id,name,category_id,color,create_uid,write_uid,comment,share,create_date,write_date
58,"{""en_US"": ""Allow to define fiscal years of more or less than a year"", ""th_TH"": ""อนุญาตให้กําหนดปีบัญชีที่มีมากกว่าหรือน้อยกว่าปี""}",15,\N,1,1,\N,\N,2023-06-20 04:05:22.368554,2023-09-05 08:03:50.15137
36,"{""en_US"": ""A warning can be set on a product or a customer (Sale)"", ""th_TH"": ""สามารถตั้งเตือนบนสินค้าหรือลูกค้าได้ (ขาย)""}",15,\N,1,1,\N,\N,2023-06-20 04:02:17.673357,2023-09-01 02:55:17.558929
35,"{""en_US"": ""Lock Confirmed Sales"", ""th_TH"": ""ล็อกการขายที่ยืนยันแล้ว""}",15,\N,1,1,\N,\N,2023-06-20 04:02:17.673357,2023-09-01 02:55:17.558929
37,"{""en_US"": ""Pro-forma Invoices"", ""th_TH"": ""ใบแจ้งหนี้ Pro-Forma""}",15,\N,1,1,\N,\N,2023-06-20 04:02:17.673357,2023-09-01 02:55:17.558929
78,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",44,\N,1,1,\N,\N,2023-06-20 04:08:25.132889,2023-09-11 03:54:00.936122
77,"{""en_US"": ""All Approver"", ""th_TH"": ""ผู้อนุมัติทั้งหมด""}",44,\N,1,1,\N,\N,2023-06-20 04:08:25.132889,2023-09-11 03:54:00.936122
76,"{""en_US"": ""Team Approver"", ""th_TH"": ""ผู้อนุมัติทีม""}",44,\N,1,1,\N,\N,2023-06-20 04:08:25.132889,2023-09-11 03:54:00.936122
38,"{""en_US"": ""Quotation Templates"", ""th_TH"": ""เทมเพลตใบเสนอราคา""}",15,\N,1,2,\N,\N,2023-06-20 04:02:20.582966,2023-09-26 04:49:50.924604
34,"{""en_US"": ""Purchase Receipt"", ""th_TH"": ""ใบเสร็จซื้อ""}",15,\N,1,1,\N,\N,2023-06-20 04:02:03.189511,2023-09-01 02:54:37.613236
26,"{""en_US"": ""Tax display B2C"", ""th_TH"": ""แสดงภาษีแบบ B2C""}",15,\N,1,1,"{""en_US"": ""Show line subtotals with taxes included (B2C)"", ""th_TH"": ""Show line subtotals with taxes included (B2C)""}",\N,2023-06-20 04:02:03.189511,2023-09-01 02:54:37.613236
73,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",36,\N,1,1,"{""en_US"": ""The user will have access to the human resources configuration as well as statistic reports."", ""th_TH"": ""ผู้ใช้จะมีสิทธิ์เข้าถึงการกำหนดค่าทรัพยากรบุคคลและรายงานสถิติ""}",\N,2023-06-20 04:08:14.454882,2023-09-11 03:53:51.386955
119,"{""en_US"": ""Allow Product Equipment Stock""}",\N,\N,1,1,\N,\N,2023-09-06 06:46:05.443122,2023-09-11 03:54:02.862328
75,"{""en_US"": ""Administrator"", ""th_TH"": ""ผู้ดูแลระบบ""}",105,\N,1,1,\N,\N,2023-06-20 04:08:20.998127,2023-09-28 08:38:59.3586
20,"{""en_US"": ""Discount on lines""}",15,\N,1,2,\N,\N,2023-06-20 04:01:52.810758,2023-11-20 10:49:41.833212
