id,sequence,parent_id,create_uid,write_uid,parent_path,web_icon,action,name,active,create_date,write_date,is_studio_configuration
419,4,414,1,1,414/419/,\N,\N,"{""en_US"": ""Reporting"", ""th_TH"": ""การรายงาน""}",t,2023-06-20 04:08:25.132889,2023-09-11 03:54:00.936122,\N
63,3,7,1,1,4/7/63/,\N,"ir.actions.act_window,69","{""en_US"": ""Groups"", ""th_TH"": ""กลุ่ม""}",t,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597,\N
64,0,7,1,1,4/7/64/,\N,"ir.actions.act_window,70","{""en_US"": ""Users"", ""th_TH"": ""ผู้ใช้""}",t,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597,\N
65,10,18,1,1,4/12/18/65/,\N,"ir.actions.act_window,74","{""en_US"": ""Company Properties"", ""th_TH"": ""Company Properties""}",t,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597,\N
579,100,576,1,1,576/579/,\N,\N,"{""en_US"": ""Configuration"", ""th_TH"": ""การกำหนดค่า""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
583,3,581,1,1,576/579/581/583/,\N,"ir.actions.act_window,165","{""en_US"": ""Product Categories"", ""th_TH"": ""หมวดหมู่สินค้า""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
66,15,12,1,1,4/12/66/,\N,\N,"{""en_US"": ""Reporting"", ""th_TH"": ""การรายงาน""}",t,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597,\N
589,21,587,1,1,576/587/589/,\N,"ir.actions.act_window,861","{""en_US"": ""Product Variants"", ""th_TH"": ""ตัวแปรสินค้า""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
588,20,587,1,1,576/587/588/,\N,"ir.actions.act_window,860","{""en_US"": ""Products"", ""th_TH"": ""สินค้า""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
67,2,66,1,1,4/12/66/67/,\N,"ir.actions.act_window,76","{""en_US"": ""Paper Format"", ""th_TH"": ""รูปแบบกระดาษ""}",t,2023-06-20 03:55:19.517597,2023-06-20 03:55:19.517597,\N
326,20,123,1,1,292/123/326/,\N,"ir.actions.act_window,498","{""en_US"": ""Follow-up Reports""}",t,2023-06-20 04:05:34.873182,2023-09-05 08:04:05.938253,\N
587,5,576,1,1,576/587/,\N,\N,"{""en_US"": ""Products"", ""th_TH"": ""สินค้า""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
576,135,\N,1,1,576/,"purchase,static/description/icon.svg",\N,"{""en_US"": ""Purchase"", ""th_TH"": ""สั่งซื้อ""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
591,6,577,1,1,576/577/591/,\N,"ir.actions.act_window,863","{""en_US"": ""Purchase Orders"", ""th_TH"": ""คำสั่งซื้อ""}",t,2023-09-05 08:11:48.159352,2023-09-05 08:11:48.159352,\N
